"","gene_id","gene_name","phage","mmseqs_qseqid","mmseqs_sseqid","mmseqs_Gene.Names","mmseqs_FinalID","mmseqs_sporulation","kegg_sporulation","phrog_best_hit","cog_best_hit","sporulation_hit","Host","Description","f_spor","predicted_label","life_bool"
"1","C0H434",NA,"MT366946","MT366946_178","C0H434","yokU BSU19689","C0H434","sporulation_gene","no_hit",NA,NA,"sporulation_gene","Bacillus","Bacillus phage Hyb1phi3Ts-SPbeta",TRUE,"temperate",TRUE
"2","K00012",NA,"KT624200","KT624200_148","O32271","tuaD yvhD BSU35580",NA,"no_hit","sporulation_gene","phrog_9148","COG1004","sporulation_gene","Bacillus","Bacillus phage SP-15",TRUE,"virulent",FALSE
"3","K00012",NA,"NC_031245","NC_031245_148",NA,NA,NA,"no_hit","sporulation_gene","phrog_9148","COG1004","sporulation_gene","Bacillus","Bacillus phage SP-15",TRUE,"virulent",FALSE
"4","K00059",NA,"KT624200","KT624200_131",NA,NA,NA,"no_hit","sporulation_gene","phrog_3142",NA,"sporulation_gene","Bacillus","Bacillus phage SP-15",TRUE,"virulent",FALSE
"5","K00059",NA,"NC_031245","NC_031245_131",NA,NA,NA,"no_hit","sporulation_gene","phrog_3142",NA,"sporulation_gene","Bacillus","Bacillus phage SP-15",TRUE,"virulent",FALSE
"6","K00390","Bs_yitB","OR397123","OR397123_50",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Clostridioides","Clostridioides phage AR1074-1",TRUE,"temperate",TRUE
"7","K00390","Bs_yitB","MN176224","MN176224_80",NA,NA,NA,"no_hit","og.enriched","phrog_2302","COG3969","og.enriched","Bacillus","Bacillus phage 031MP002",TRUE,"temperate",TRUE
"8","K00390","Bs_yitB","KT224359","KT224359_18",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Bacillus","Bacillus phage TsarBomba",TRUE,"virulent",FALSE
"9","K00390","Bs_yitB","NC_019508","NC_019508_9",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Clostridium","Clostridium phage phiCP34O",TRUE,"temperate",TRUE
"10","K00390","Bs_yitB","KT187252","KT187252_33",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Bacillus","Bacillus phage PBC6",TRUE,"virulent",FALSE
"11","K00390","Bs_yitB","NC_030920","NC_030920_10",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Bacillus","Bacillus phage Eldridge",TRUE,"virulent",FALSE
"12","K00390","Bs_yitB","JN797798","JN797798_28",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Bacillus","Bacillus phage BCU4",TRUE,"virulent",FALSE
"13","K00390","Bs_yitB","KC685370","KC685370_23",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Bacillus","Bacillus phage MG-B1",TRUE,"virulent",FALSE
"14","K00390","Bs_yitB","MN176223","MN176223_80",NA,NA,NA,"no_hit","og.enriched","phrog_2302","COG3969","og.enriched","Bacillus","Bacillus phage 031MP003",TRUE,"temperate",TRUE
"15","K00390","Bs_yitB","OQ737697","OQ737697_1",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Clostridium","Clostridium phage cpp",TRUE,"temperate",TRUE
"16","K00390","Bs_yitB","NC_047735","NC_047735_28",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Bacillus","Bacillus phage BCU4",TRUE,"virulent",FALSE
"17","K00390","Bs_yitB","NC_019506","NC_019506_9",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Clostridium","Clostridium phage phiCP13O",TRUE,"temperate",TRUE
"18","K00390","Bs_yitB","OQ921348","OQ921348_166",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Bacillus","Bacillus phage SPbetaL8",TRUE,"temperate",TRUE
"19","K00390","Bs_yitB","NC_070844","NC_070844_12",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Bacillus","Bacillus phage pW4",TRUE,"temperate",TRUE
"20","K00390","Bs_yitB","MG967618","MG967618_10",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Bacillus","Bacillus phage v_B-Bak10",TRUE,"temperate",TRUE
"21","K00390","Bs_yitB","JF767209","JF767209_9",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Clostridium","Clostridium phage phiCP34O",TRUE,"temperate",TRUE
"22","K00390","Bs_yitB","MN176226","MN176226_78",NA,NA,NA,"no_hit","og.enriched","phrog_2302","COG3969","og.enriched","Bacillus","Bacillus phage 035JT001",TRUE,"temperate",TRUE
"23","K00390","Bs_yitB","KX987999","KX987999_220",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Bacillus","Bacillus phage BCP12",TRUE,"virulent",FALSE
"24","K00390","Bs_yitB","KU253712","KU253712_10",NA,NA,NA,"no_hit","og.enriched","phrog_424","COG0175","og.enriched","Bacillus","Bacillus phage Eldridge",TRUE,"virulent",FALSE
"25","K00390","Bs_yitB","MN176225","MN176225_78",NA,NA,NA,"no_hit","og.enriched","phrog_2302","COG3969","og.enriched","Bacillus","Bacillus phage 031MP004",TRUE,"virulent",FALSE
