"","Sequence_ID","Cluster99","Cluster95","Cluster90","Cluster85","Cluster80"
"1","AB002632_0A_Fwd_7467","99_0","95_0","90_0","85_0","80_0"
"2","KC357596_0A_Fwd_7184","99_0","95_0","90_0","85_0","80_0"
"3","AB008550_0A_Rev_26680","99_1","95_1","90_1","85_1","80_1"
"4","BK061475_0A_Rev_26410","99_1","95_1","90_1","85_1","80_1"
"5","OR683410_0A_Rev_27423","99_1","95_1","90_1","85_1","80_1"
"6","AB009866_0A_Rev_18483","99_10","95_10","90_10","85_10","80_10"
"7","AB044554_0A_Rev_37168","99_10","95_10","90_10","85_10","80_10"
"8","AF424783_0A_Rev_35515","99_10","95_10","90_10","85_10","80_10"
"9","AP011955_0A_Rev_36689","99_10","95_10","90_10","85_10","80_10"
"10","AP011956_0A_Rev_36689","99_10","95_10","90_10","85_10","80_10"
"11","AY508486_0A_Rev_17920","99_10","95_10","90_10","85_10","80_10"
"12","CP062426_0A_Rev_18397","99_10","95_10","90_10","85_10","80_10"
"13","CP062435_0A_Rev_18395","99_10","95_10","90_10","85_10","80_10"
"14","CP062445_0A_Rev_18395","99_10","95_10","90_10","85_10","80_10"
"15","CP062447_0A_Rev_17480","99_10","95_10","90_10","85_10","80_10"
"16","CP062457_0A_Rev_18395","99_10","95_10","90_10","85_10","80_10"
"17","DQ530361_0A_Rev_35612","99_10","95_10","90_10","85_10","80_10"
"18","EF462197_0A_Rev_36321","99_10","95_10","90_10","85_10","80_10"
"19","EF462199_0A_Rev_35597","99_10","95_10","90_10","85_10","80_10"
"20","GQ398772_0A_Rev_36609","99_10","95_10","90_10","85_10","80_10"
"21","GQ915271_0A_Rev_20890","99_10","95_10","90_10","85_10","80_10"
"22","KT809368_0A_Rev_17865","99_10","95_10","90_10","85_10","80_10"
"23","KY653125_0A_Rev_35483","99_10","95_10","90_10","85_10","80_10"
"24","MG029510_0A_Rev_32978","99_10","95_10","90_10","85_10","80_10"
"25","MG029512_0A_Rev_36535","99_10","95_10","90_10","85_10","80_10"
"26","MH384259_0A_Rev_35689","99_10","95_10","90_10","85_10","80_10"
"27","MH401416_0A_Rev_36244","99_10","95_10","90_10","85_10","80_10"
"28","MW924889_0A_Rev_17479","99_10","95_10","90_10","85_10","80_10"
"29","OM439664_0A_Rev_36408","99_10","95_10","90_10","85_10","80_10"
"30","OP136133_0A_Rev_35748","99_10","95_10","90_10","85_10","80_10"
"31","OP493557_0A_Rev_37329","99_10","95_10","90_10","85_10","80_10"
"32","OP493558_0A_Rev_36239","99_10","95_10","90_10","85_10","80_10"
"33","OQ687052_0A_Rev_18485","99_10","95_10","90_10","85_10","80_10"
"34","PQ281812_0A_Rev_36712","99_10","95_10","90_10","85_10","80_10"
"35","KF361475_0A_Fwd_3165","99_102","95_100","90_100","85_100","80_100"
"36","KU504502_0A_Fwd_2187","99_102","95_100","90_100","85_100","80_100"
"37","KX058879_0A_Fwd_2153","99_102","95_100","90_100","85_100","80_100"
"38","AB374228_0A_Fwd_1803","99_102","95_100","90_100","85_100","80_100"
"39","AP014693_0A_Rev_158718","99_1038","95_1020","90_1009","85_1000","80_991"
"40","KF669662_0A_Fwd_35276","99_11698","95_10863","90_10441","85_10000","80_9644"
"41","KF669662_0A_Fwd_96937","99_11699","95_10864","90_10442","85_10001","80_9645"
"42","KY888882_0A_Fwd_97203","99_11699","95_10864","90_10442","85_10001","80_9645"
"43","KF669662_0A_Rev_144167","99_11700","95_10865","90_10443","85_10002","80_9186"
"44","KY888882_0A_Rev_146110","99_20571","95_10865","90_10443","85_10002","80_9186"
"45","KY888882_0A_Rev_165734","99_11701","95_10866","90_10444","85_10003","80_9646"
"46","KF669662_0A_Rev_2398","99_11701","95_10866","90_10444","85_10003","80_9646"
"47","KF669662_0A_Rev_163895","99_11701","95_10866","90_10444","85_10003","80_9646"
"48","KY888882_0A_Rev_2403","99_11701","95_10866","90_10444","85_10003","80_9646"
"49","OM743306_0A_Rev_159183","99_55878","95_48727","90_10444","85_10003","80_9646"
"50","KF669662_0A_Fwd_9652","99_11703","95_10867","90_10445","85_10004","80_9199"
"51","KY888882_0A_Fwd_9829","99_11703","95_10867","90_10445","85_10004","80_9199"
"52","KY888882_0A_Fwd_19839","99_11704","95_10868","90_10446","85_10005","80_9647"
"53","KF669662_0A_Fwd_19663","99_11704","95_10868","90_10446","85_10005","80_9647"
"54","KF669662_0A_Rev_44999","99_11706","95_10869","90_10447","85_10006","80_9648"
"55","KY888882_0A_Rev_116792","99_11707","95_10870","90_10448","85_10007","80_9649"
"56","KF669662_0A_Rev_116895","99_11707","95_10870","90_10448","85_10007","80_9649"
"57","KF669662_0A_Fwd_35900","99_11708","95_10871","90_10449","85_10008","80_9650"
"58","KY888882_0A_Fwd_35704","99_20574","95_10871","90_10449","85_10008","80_9650"
"59","KY888882_0A_Rev_64679","99_11709","95_10872","90_10450","85_10009","80_9651"
"60","KF669662_0A_Rev_64938","99_11709","95_10872","90_10450","85_10009","80_9651"
"61","AP014693_0A_Rev_149856","99_1039","95_1021","90_1010","85_1001","80_992"
"62","KF669662_0A_Rev_77864","99_11710","95_10873","90_10451","85_10010","80_9652"
"63","KF669662_0A_Fwd_155668","99_11712","95_10875","90_10452","85_10011","80_9653"
"64","KF669663_0A_Fwd_29833","99_11713","95_10876","90_10453","85_10012","80_9654"
"65","KP696447_0A_Fwd_28109","99_11713","95_10876","90_10453","85_10012","80_9654"
"66","KF669663_0A_Fwd_29875","99_11714","95_10877","90_10454","85_10013","80_9655"
"67","KF692088_0A_Rev_11456","99_11716","95_10878","90_10455","85_10014","80_9656"
"68","KF692088_0A_Rev_11537","99_11717","95_10879","90_10456","85_10015","80_9657"
"69","KF692088_0A_Rev_24037","99_11718","95_10880","90_10457","85_10016","80_9658"
"70","KF692088_0A_Rev_30531","99_11719","95_10881","90_10458","85_10017","80_9659"
"71","KF692088_0A_Rev_11594","99_11720","95_10882","90_10459","85_10018","80_9660"
"72","KF700371_0A_Rev_6455","99_11721","95_10883","90_10460","85_10019","80_4020"
"73","AP014693_0A_Rev_158823","99_1040","95_1022","90_1011","85_1002","80_993"
