"","ID","GTDB_tax","sequence_id","predicted_label","p_temperate","p_virulent","matched_phyla","matched_class","matched_order","matched_family","matched_word"
"5","Broecker_Sample_ID29-1191-0_NODE_2911_length_5216_cov_10.715171","Bacteria;Firmicutes_A;Ruminococcaceae",142813,"temperate","0.7944976186991725","0.2055023813008275",NA,NA,NA,"Ruminococcaceae",NA
"7","Broecker_Sample_ID29-1191-0_NODE_364_length_23296_cov_8.034035","Bacteria;Firmicutes_A;Oscillospiraceae",142815,"temperate","0.5898344213623042","0.41016557863769576",NA,NA,NA,"Oscillospiraceae",NA
"8","Broecker_Sample_ID29-1191-0_NODE_881_length_12231_cov_17.324573","Bacteria;Firmicutes_A;Lachnospiraceae",142816,"temperate","0.8782466376060726","0.12175336239392748",NA,NA,NA,"Lachnospiraceae",NA
"9","Broecker_Sample_ID29-1191-0_NODE_952_length_11499_cov_5.112985","Bacteria;Firmicutes_A;CAG-138",142817,"temperate","0.5458288741836488","0.4541711258163512",NA,NA,NA,"CAG-138",NA
"13","Broecker_Sample_ID29-1191-3_NODE_1210_length_6284_cov_3.820677","Bacteria;Firmicutes_A;Lachnospiraceae",142821,"temperate","0.8527697814383229","0.14723021856167703",NA,NA,NA,"Lachnospiraceae",NA
"14","Broecker_Sample_ID29-1191-3_NODE_1276_length_6000_cov_8.699916","Bacteria;Firmicutes_A;Acutalibacteraceae",142822,"temperate","0.7228558392625285","0.2771441607374714",NA,NA,NA,"Acutalibacteraceae",NA
"16","Broecker_Sample_ID29-1192-0_NODE_1219_length_10495_cov_2.580843","Bacteria;Firmicutes_A;Oscillospiraceae",142824,"temperate","0.5999200792911372","0.4000799207088627",NA,NA,NA,"Oscillospiraceae",NA
"17","Broecker_Sample_ID29-1192-0_NODE_1404_length_9390_cov_2.567542","Bacteria;Firmicutes_A;Lachnospiraceae",142825,"virulent","0.4622443924316359","0.5377556075683639",NA,NA,NA,"Lachnospiraceae",NA
"19","Broecker_Sample_ID29-1192-0_NODE_1514_length_8834_cov_5.258116","Bacteria;Proteobacteria;Enterobacteriaceae",142827,"temperate","0.9345882932893375","0.06541170671066261",NA,NA,NA,"Enterobacteriaceae",NA
"22","Broecker_Sample_ID29-1192-0_NODE_1718_length_7884_cov_2.240644","Bacteria;Firmicutes_A;Ruminococcaceae",142830,"temperate","0.8632340676911378","0.13676593230886222",NA,NA,NA,"Ruminococcaceae",NA
"24","Broecker_Sample_ID29-1192-0_NODE_1992_length_6996_cov_6.475436","Bacteria;Firmicutes_A;Ruminococcaceae",142832,"temperate","0.8653917382029066","0.13460826179709345",NA,NA,NA,"Ruminococcaceae",NA
"25","Broecker_Sample_ID29-1192-0_NODE_2299_length_6143_cov_2.917871","Bacteria;Firmicutes_A;Lachnospiraceae",142833,"temperate","0.637993915827608","0.362006084172392",NA,NA,NA,"Lachnospiraceae",NA
"29","Broecker_Sample_ID29-1192-0_NODE_357_length_26490_cov_8.543787","Bacteria;Firmicutes_A;Oscillospiraceae",142837,"temperate","0.5183506899433727","0.48164931005662726",NA,NA,NA,"Oscillospiraceae",NA
"33","Broecker_Sample_ID29-1192-0_NODE_991_length_12423_cov_4.535899","Bacteria;Firmicutes_A;Lachnospiraceae",142841,"temperate","0.8556077942756906","0.14439220572430936",NA,NA,NA,"Lachnospiraceae",NA
"34","Broecker_Sample_ID29-1192-4_NODE_1172_length_6460_cov_1.964871","Bacteria;Proteobacteria;Enterobacteriaceae",142842,"temperate","0.9025347628521564","0.09746523714784358",NA,NA,NA,"Enterobacteriaceae",NA
"35","Broecker_Sample_ID29-1192-4_NODE_1183_length_6382_cov_5.205785","Bacteria;Proteobacteria;Enterobacteriaceae",142843,"temperate","0.9457038367187174","0.054296163281282644",NA,NA,NA,"Enterobacteriaceae",NA
"38","Broecker_Sample_ID29-1192-4_NODE_415_length_17962_cov_6.259619","Bacteria;Bacteroidota;Rikenellaceae",142846,"temperate","0.5883865469984838","0.4116134530015162","Bacteroidota",NA,NA,"Rikenellaceae",NA
"39","Broecker_Sample_ID29-1192-4_NODE_522_length_14236_cov_4.115577","Bacteria;Firmicutes_A;Acutalibacteraceae",142847,"temperate","0.7558581657710658","0.24414183422893423",NA,NA,NA,"Acutalibacteraceae",NA
"42","Broecker_Sample_ID29-1192-4_NODE_854_length_9003_cov_4.424676","Bacteria;Bacteroidota;Rikenellaceae",142850,"temperate","0.5774364574170141","0.4225635425829859","Bacteroidota",NA,NA,"Rikenellaceae",NA
"43","Broecker_Sample_ID29-1192-4_NODE_954_length_8106_cov_2.040864","Bacteria;Firmicutes_A;Acutalibacteraceae",142851,"temperate","0.8940868228920014","0.10591317710799858",NA,NA,NA,"Acutalibacteraceae",NA
"50","Broecker_Sample_ID29-1193-5_NODE_1277_length_5679_cov_2.197013","Bacteria;Firmicutes_A;Acutalibacteraceae",142858,"virulent","0.4798061989603823","0.5201938010396178",NA,NA,NA,"Acutalibacteraceae",NA
"63","Broecker_Sample_ID29-1194-0_NODE_2568_length_8777_cov_7.275854","Bacteria;Firmicutes_A;Oscillospiraceae",142871,"temperate","0.6697559628666361","0.3302440371333639",NA,NA,NA,"Oscillospiraceae",NA
"64","Broecker_Sample_ID29-1194-0_NODE_2584_length_8714_cov_3.614043","Bacteria;Bacteroidota;Tannerellaceae",142872,"virulent","0.4009877495882774","0.5990122504117226","Bacteroidota",NA,NA,"Tannerellaceae",NA
"67","Broecker_Sample_ID29-1194-0_NODE_288_length_50381_cov_4.132417","Bacteria;Actinobacteriota;Eggerthellaceae",142875,"temperate","0.8452538859461474","0.15474611405385266",NA,NA,NA,"Eggerthellaceae",NA
"69","Broecker_Sample_ID29-1194-0_NODE_3028_length_7214_cov_4.458723","Bacteria;Firmicutes_A;Ruminococcaceae",142877,"temperate","0.6971628464629523","0.3028371535370476",NA,NA,NA,"Ruminococcaceae",NA
"79","Broecker_Sample_ID29-1194-0_NODE_5989_length_3345_cov_3.456231","Bacteria;Firmicutes_A;Acutalibacteraceae",142887,"temperate","0.5165439197907781","0.4834560802092219",NA,NA,NA,"Acutalibacteraceae",NA
"81","Broecker_Sample_ID29-1194-6_NODE_446_length_12165_cov_1.679769","Bacteria;Actinobacteriota;Coriobacteriaceae",142889,"temperate","0.80697657540229","0.19302342459771013",NA,NA,NA,"Coriobacteriaceae",NA
"82","Chehoud_control_1_NODE_3_length_6477_cov_3.409063","Bacteria;Firmicutes_C;Veillonellaceae",142890,"temperate","0.744343307037401","0.2556566929625991",NA,NA,NA,"Veillonellaceae",NA
"85","Chehoud_control_2_NODE_1_length_48115_cov_27.751977","Bacteria;Firmicutes_A;Lachnospiraceae",142901,"temperate","0.643794627840745","0.3562053721592549",NA,NA,NA,"Lachnospiraceae",NA
"87","Chehoud_control_2_NODE_107_length_6866_cov_20.761269","Bacteria;Proteobacteria;Enterobacteriaceae",142894,"temperate","0.6750657286632874","0.32493427133671254",NA,NA,NA,"Enterobacteriaceae",NA
"92","Chehoud_control_2_NODE_155_length_5500_cov_12.434343","Bacteria;Firmicutes_A;Lachnospiraceae",142899,"temperate","0.6294030090120147","0.37059699098798526",NA,NA,NA,"Lachnospiraceae",NA
"93","Chehoud_control_2_NODE_158_length_5403_cov_12.149963","Bacteria;Firmicutes_A;Lachnospiraceae",142900,"virulent","0.37038041981494274","0.6296195801850573",NA,NA,NA,"Lachnospiraceae",NA
"94","Chehoud_control_2_NODE_25_length_17868_cov_71.012463","Bacteria;Actinobacteriota;Bifidobacteriaceae",142902,"temperate","0.7414012296819332","0.2585987703180668",NA,NA,NA,"Bifidobacteriaceae",NA
"96","Chehoud_control_2_NODE_4_length_38026_cov_24.346449","Bacteria;Firmicutes;Lactobacillaceae",142904,"temperate","0.8128030802348509","0.18719691976514904",NA,NA,NA,"Lactobacillaceae",NA
"98","Chehoud_control_2_NODE_52_length_11083_cov_6.893090","Bacteria;Firmicutes_A;Acutalibacteraceae",142905,"temperate","0.7942375416833205","0.2057624583166794",NA,NA,NA,"Acutalibacteraceae",NA
"100","Chehoud_control_2_NODE_7_length_34120_cov_45.113283","Bacteria;Firmicutes_A;Oscillospiraceae",142910,"virulent","0.4407835528563145","0.5592164471436855",NA,NA,NA,"Oscillospiraceae",NA
"102","Chehoud_control_2_NODE_79_length_8397_cov_5.535363","Bacteria;Firmicutes;Lactobacillaceae",142909,"temperate","0.6542322597725664","0.34576774022743356",NA,NA,NA,"Lactobacillaceae",NA
"103","Chehoud_control_2_NODE_8_length_33848_cov_101.073092","Bacteria;Firmicutes_A;Ruminococcaceae",142912,"temperate","0.8101218989470995","0.18987810105290046",NA,NA,NA,"Ruminococcaceae",NA
"104","Chehoud_control_2_NODE_83_length_8257_cov_10.744940","Bacteria;Firmicutes;Erysipelotrichaceae",142911,"temperate","0.7311334460182832","0.26886655398171677",NA,NA,NA,"Erysipelotrichaceae",NA
"108","Chehoud_control_3_NODE_14_length_22485_cov_9.183683","Bacteria;Firmicutes_A;Acutalibacteraceae",142916,"temperate","0.7605432676599516","0.2394567323400483",NA,NA,NA,"Acutalibacteraceae",NA
"111","Chehoud_control_3_NODE_46_length_6378_cov_6.603511","Bacteria;Firmicutes_A;Acutalibacteraceae",142919,"temperate","0.7194727008892599","0.28052729911074004",NA,NA,NA,"Acutalibacteraceae",NA
"112","Chehoud_control_3_NODE_7_length_31207_cov_24.991429","Bacteria;Firmicutes_A;Ruminococcaceae",142920,"virulent","0.25088556253446304","0.749114437465537",NA,NA,NA,"Ruminococcaceae",NA
"113","Chehoud_donor_NODE_10_length_34366_cov_37.032089","Bacteria;Firmicutes_A;Acutalibacteraceae",142924,"temperate","0.5144635843230042","0.48553641567699585",NA,NA,NA,"Acutalibacteraceae",NA
"116","Chehoud_donor_NODE_109_length_5774_cov_8.922014","Bacteria;Actinobacteriota;Micrococcaceae",142923,"temperate","0.5008010276948732","0.49919897230512683",NA,NA,NA,"Micrococcaceae",NA
"119","Chehoud_donor_NODE_131_length_5160_cov_46.989814","Bacteria;Actinobacteriota;Bifidobacteriaceae",142927,"virulent","0.4999162639647338","0.5000837360352661",NA,NA,NA,"Bifidobacteriaceae",NA
"120","Chehoud_donor_NODE_18_length_24166_cov_10.367343","Bacteria;Firmicutes_C;Dialisteraceae",142928,"temperate","0.6502004418486946","0.34979955815130537",NA,NA,NA,"Dialisteraceae",NA
