contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
NC_001884.1_Bacillus_phage_SPBc2_complete_genome	134416	No	NA	180	40	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
FJ230960.1_Bacillus_phage_SPO1_complete_genome	132562	No	NA	192	71	0	High-quality	High-quality	90.41	AAI-based (high-confidence)	0.0	1.0	
NC_011048.1_Bacillus_phage_phi29_complete_genome	19282	No	NA	24	15	0	High-quality	High-quality	98.48	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_Agribiome_L_E1_T5_co_scaffold_2723-cat_1	22563	No	NA	31	12	0	Low-quality	Genome-fragment	38.54	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_Agribiome_L_E1_T5_co_scaffold_123-circular-cat_2	60172	No	NA	113	35	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
VIRSorter_Agribiome_L_E1_T5_co_scaffold_34-circular-cat_2	90597	No	NA	123	21	3	High-quality	High-quality	96.74	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_Agribiome_L_E1_T5_co_scaffold_17-circular-cat_2	144318	No	NA	206	50	4	High-quality	High-quality	99.46	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_Agribiome_L_E1_T5_co_scaffold_26-cat_2	111948	No	NA	142	22	9	Low-quality	Genome-fragment	49.59	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_Agribiome_L_E1_T5_co_scaffold_60-cat_2	61221	Yes	41276	61	22	8	Low-quality	Genome-fragment	23.32	HMM-based (lower-bound)	32.58	1.0	>1 viral region detected
VIRSorter_Agribiome_L_E1_T5_co_scaffold_57-cat_2	58875	No	NA	74	12	0	Low-quality	Genome-fragment	45.26	AAI-based (medium-confidence)	0.0	1.01	
VIRSorter_Agribiome_C_No_T0_co_scaffold_79-cat_2	37765	No	NA	60	15	0	Medium-quality	Genome-fragment	52.04	HMM-based (lower-bound)	0.0	1.0	
VIRSorter_Agribiome_L_E1_T5_co_scaffold_2447-cat_2	11579	No	NA	15	9	0	Low-quality	Genome-fragment	7.33	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_Agribiome_L_E1_T5_co_scaffold_44_gene_54_gene_259-42606-187517-cat_5	144911	No	NA	207	26	5	Medium-quality	Genome-fragment	80.93	HMM-based (lower-bound)	0.0	1.0	
VIRSorter_AD_CERC_C7A_k121_31426_flag_3_multi_173_1459_len_51980-circular-cat_1	51859	No	NA	71	19	1	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C8A_k121_211718_flag_0_multi_171_4669_len_51980-circular-cat_1	51859	No	NA	71	20	1	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C3A_k121_177737_flag_3_multi_499_0096_len_51980-circular-cat_1	51859	No	NA	71	19	1	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C3A_k121_118626_flag_3_multi_737_0000_len_56376-circular-cat_2	56255	No	NA	78	15	3	High-quality	High-quality	97.28	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_I3A_k121_40749_flag_3_multi_64_0000_len_64334-circular-cat_2	64213	No	NA	85	17	2	High-quality	High-quality	97.59	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C7A_k121_100369_flag_0_multi_305_0000_len_56372-circular-cat_2	56255	No	NA	78	16	3	High-quality	High-quality	97.79	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C8A_k121_2458_flag_1_multi_115_0000_len_39288-circular-cat_2	39269	No	NA	58	15	1	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_I8A_k121_70598_flag_1_multi_58_9920_len_166412-cat_2	166412	No	NA	201	43	7	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
VIRSorter_AD_CERC_I7A_k121_116032_flag_1_multi_114_9835_len_166410-cat_2	166410	No	NA	201	43	7	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
VIRSorter_AD_CERC_I8A_k121_31693_flag_0_multi_208_4569_len_85268-cat_2	85268	No	NA	112	39	3	Medium-quality	Genome-fragment	58.74	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_AD_CERC_I3A_k121_73791_flag_1_multi_157_0000_len_81244-cat_2	81244	No	NA	119	24	3	High-quality	High-quality	94.05	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_I8A_k121_99500_flag_1_multi_135_0000_len_64838-cat_2	64838	No	NA	91	19	0	Medium-quality	Genome-fragment	75.05	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_I7A_k121_115825_flag_1_multi_98_0000_len_63743-cat_2	63743	No	NA	88	18	0	Medium-quality	Genome-fragment	73.79	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C7A_k121_263319_flag_0_multi_49_0385_len_54464-cat_2	54464	No	NA	70	8	0	Medium-quality	Genome-fragment	74.99	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C8A_k121_308437_flag_0_multi_47_0060_len_54464-cat_2	54464	No	NA	70	8	0	Medium-quality	Genome-fragment	74.99	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C8A_k121_39140_flag_0_multi_43_6666_len_48615-cat_2	48615	Yes	34257	59	9	7	Medium-quality	Genome-fragment	55.79	HMM-based (lower-bound)	29.53	1.0	
VIRSorter_AD_CERC_C7A_k121_123805_flag_0_multi_67_1130_len_45728-cat_2	45728	Yes	29246	59	19	8	Medium-quality	Genome-fragment	51.39	HMM-based (lower-bound)	36.04	1.0	
VIRSorter_AD_CERC_C7A_k121_188775_flag_0_multi_82_5128_len_44808-cat_2	44808	Yes	36402	55	9	5	Medium-quality	Genome-fragment	59.28	HMM-based (lower-bound)	18.76	1.0	
VIRSorter_AD_CERC_I3A_k121_5910_flag_0_multi_115_6517_len_44387-cat_2	44387	No	NA	61	19	2	Medium-quality	Genome-fragment	75.84	HMM-based (lower-bound)	0.0	1.0	
VIRSorter_AD_CERC_C8A_k121_22785_flag_0_multi_45_3628_len_41180-cat_2	41180	No	NA	56	17	2	Medium-quality	Genome-fragment	71.21	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C7A_k121_124554_flag_1_multi_37_9895_len_38799-cat_2	38799	No	NA	53	16	2	Medium-quality	Genome-fragment	67.07	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C8A_k121_55471_flag_0_multi_326_9962_len_38280-cat_2	38280	No	NA	64	14	2	Medium-quality	Genome-fragment	66.22	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C7A_k121_130354_flag_1_multi_277_0000_len_32331-cat_2	32331	No	NA	51	16	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C8A_k121_275883_flag_1_multi_200_0000_len_32300-cat_2	32300	No	NA	51	16	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C7A_k121_4870_flag_1_multi_52_2374_len_30187-cat_2	30187	No	NA	44	10	1	Low-quality	Genome-fragment	46.64	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C7A_k121_223389_flag_0_multi_162_9295_len_26636-cat_2	26636	No	NA	34	11	2	Low-quality	Genome-fragment	40.72	HMM-based (lower-bound)	0.0	1.0	
VIRSorter_AD_CERC_I8A_k121_194651_flag_0_multi_28_0644_len_22018-cat_2	22018	No	NA	35	11	1	Medium-quality	Genome-fragment	61.52	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C8A_k121_310420_flag_1_multi_26_0000_len_15618-cat_2	15618	No	NA	22	6	0	Low-quality	Genome-fragment	42.25	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_I7A_k121_218888_flag_1_multi_183_5883_len_11937-cat_2	11937	No	NA	20	8	1	Low-quality	Genome-fragment	33.35	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C7A_k121_57438_flag_0_multi_48_0163_len_172213_gene_77_gene_176-95000-172263-cat_4	77213	No	NA	100	32	6	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C3A_k121_143978_flag_0_multi_174_0000_len_119804_gene_1_gene_41-0-26055-cat_4	26055	No	NA	41	11	1	Medium-quality	Genome-fragment	55.77	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_AD_CERC_I8A_k121_38147_flag_0_multi_78_0261_len_400504_gene_1_gene_45-0-33183-cat_5	33183	No	NA	50	19	0	Medium-quality	Genome-fragment	88.62	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C8A_k121_44871_flag_0_multi_55_6837_len_172088_gene_69_gene_177-89946-172138-cat_5	82142	No	NA	108	32	6	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C8A_k121_44871_flag_0_multi_55_6837_len_172088_gene_37_gene_177-46601-172138-cat_5	125487	Yes	77047	140	32	22	High-quality	High-quality	100.0	AAI-based (high-confidence)	38.6	1.0	contig >1.5x longer than expected genome length
VIRSorter_AD_CERC_C3A_k121_147575_flag_0_multi_111_9866_len_165731_gene_65_gene_156-101550-162632-cat_5	61082	Yes	46545	86	22	6	High-quality	High-quality	96.74	AAI-based (medium-confidence)	23.8	1.0	
VIRSorter_AD_CERC_I7A_k121_29993_flag_0_multi_173_2662_len_160148_gene_1_gene_46-0-33183-cat_5	33183	No	NA	50	19	0	Medium-quality	Genome-fragment	88.62	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_AD_CERC_C8A_k121_160370_flag_0_multi_31_0066_len_156420_gene_76_gene_135-102842-146770-cat_5	43928	No	NA	60	19	2	Medium-quality	Genome-fragment	75.27	HMM-based (lower-bound)	0.0	1.0	
VIRSorter_AD_CERC_C3A_k121_55955_flag_0_multi_415_0259_len_77867_gene_15_gene_74-13006-56934-cat_5	43928	No	NA	60	19	2	Medium-quality	Genome-fragment	75.27	HMM-based (lower-bound)	0.0	1.0	
VIRSorter_AD_CERC_I7A_k121_113829_flag_0_multi_124_2286_len_69186_gene_1_gene_58-213-40410-cat_5	40197	Yes	21551	60	15	26	Low-quality	Genome-fragment	46.85	AAI-based (high-confidence)	46.39	1.0	
VIRSorter_Columbia_River_N33040OSUsa_scaffold_14-cat_2	38836	No	NA	48	9	0	Medium-quality	Genome-fragment	73.78	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_Columbia_River_S24050OSUsa_scaffold_158-cat_2	43706	No	NA	73	6	2	Medium-quality	Genome-fragment	66.59	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_Columbia_River_S2010OSUsa_scaffold_281-cat_2	47514	No	NA	71	12	1	Medium-quality	Genome-fragment	61.73	HMM-based (lower-bound)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_429-cat_1	54528	No	NA	68	13	2	High-quality	High-quality	94.15	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_1619-cat_1	25140	No	NA	39	14	0	Medium-quality	Genome-fragment	55.82	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day10_scaffold_183-circular-cat_2	47453	No	NA	69	34	1	High-quality	High-quality	97.17	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day60_scaffold_183-circular-cat_2	47444	No	NA	69	34	1	High-quality	High-quality	97.15	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day27_scaffold_43-circular-cat_2	97817	No	NA	115	22	1	Medium-quality	Genome-fragment	85.23	HMM-based (lower-bound)	0.0	1.0	
