contig_id	contig_length	n_genes	votu	genus_cluster	family_cluster	genomad_taxonomy	predicted_host	genomad_chromosome_score	genomad_plasmid_score	genomad_virus_score	genomad_n_uscg	genomad_n_plasmid_hallmarks	genomad_n_virus_hallmarks	genomad_marker_enrichment_c	genomad_marker_enrichment_p	genomad_marker_enrichment_v	checkv_quality	checkv_completeness	checkv_completeness_method	checkv_aai	checkv_aai_shared_fraction
2124908021.a:BSRL3_Contig_1	137087	244	vOTU_000144	gc_000402	fc_000560	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0134	0.0211	0.9655	0	0	2	-33.5694	-37.0968	31.6143	High-quality	100.0	AAI-based (high-confidence)	100.0	99.9
2124908025.a:MBSR2a_Contig_642	15019	16	vOTU_000283	gc_000808	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0072	0.0124	0.9804	0	0	3	-18.3552	-14.2036	13.4448	Low-quality	17.01	AAI-based (high-confidence)	68.9	42.78
2124908025.a:MBSR2a_Contig_926	16283	50	vOTU_002356	gc_000203	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0074	0.0127	0.9799	0	0	0	-18.3376	-13.8122	13.6706	Low-quality	18.5	AAI-based (high-confidence)	58.24	35.28
2124908025.a:MBSR2a_Contig_1912	64068	102	vOTU_000161	gc_000072	fc_000047	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.009	0.0313	0.9597	0	0	29	-132.886	-96.3926	77.9382	High-quality	100.0	AAI-based (high-confidence)	100.0	100.0
2124908025.a:MBSR2a_Contig_2898	8010	10	vOTU_002344	gc_000403	fc_000034	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0078	0.0209	0.9713	0	0	4	-10.9809	-10.3669	9.6417	Low-quality	20.06	AAI-based (high-confidence)	74.43	94.32
2124908025.a:MBSR2a_Contig_2946	11287	16	vOTU_004484	gc_000108	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0066	0.0108	0.9826	0	0	4	-22.5274	-22.6596	21.8289	Low-quality	12.85	AAI-based (high-confidence)	76.77	83.81
2124908025.a:MBSR2a_Contig_2966	7451	8	vOTU_004485	gc_000311	fc_000009	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0062	0.0103	0.9835	0	0	2	-14.9012	-13.9243	12.5352	Low-quality	19.54	AAI-based (high-confidence)	58.39	84.56
2124908025.a:MBSR2a_Contig_2968	8545	11	vOTU_002312	gc_000403	fc_000034	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0116	0.0132	0.9752	0	0	5	-17.786	-17.1335	16.4321	Low-quality	21.64	AAI-based (high-confidence)	63.4	31.44
2124908025.a:MBSR2a_Contig_2971	8815	9	vOTU_002311	gc_000030	fc_000071	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0068	0.0122	0.981	0	0	2	-14.3092	-13.4545	13.4482	Low-quality	45.54	AAI-based (medium-confidence)	46.06	64.52
2124908025.a:MBSR2a_Contig_2997	10897	26	vOTU_002302	gc_002189	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0077	0.0126	0.9798	0	0	1	-17.623	-14.1113	10.5546	Low-quality	11.83	AAI-based (high-confidence)	74.42	27.05
2124908025.a:MBSR2a_Contig_3008	5916	7	vOTU_000933	gc_002188	fc_000066	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0064	0.011	0.9825	0	0	1	-11.6057	-9.833	9.4765	Low-quality	15.71	AAI-based (medium-confidence)	45.02	74.39
2124908025.a:MBSR2a_Contig_3010	9077	10	vOTU_004483	gc_000030	fc_000071	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0073	0.0146	0.9781	0	0	2	-14.9041	-13.1772	13.0874	Low-quality	46.42	AAI-based (medium-confidence)	49.0	55.08
2124908027.a:MRS2a_Contig_112	5370	10	vOTU_004486	gc_003070	fc_000084	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.007	0.0146	0.9783	0	0	2	-13.5906	-11.1128	11.0592	Low-quality	12.3	AAI-based (high-confidence)	86.61	78.92
2124908027.a:MRS2a_Contig_123	15761	28	vOTU_000862	gc_004552	fc_000084	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0082	0.0259	0.9659	0	0	4	-18.0316	-13.9779	13.9449	Low-quality	35.95	AAI-based (high-confidence)	84.59	66.75
2124908027.a:MRS2a_Contig_140	6418	11	vOTU_014503	gc_002190	fc_000004	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0072	0.0131	0.9796	0	0	4	-10.2329	-8.0125	7.2184	Low-quality	13.85	AAI-based (high-confidence)	85.36	76.37
2124908027.a:MRS2a_Contig_162	6237	7	vOTU_014501	gc_001620	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0062	0.0101	0.9837	0	0	3	-14.2799	-10.7677	10.6011	Low-quality	6.56	AAI-based (high-confidence)	91.77	96.08
2124908027.a:MRS2a_Contig_168	9832	15	vOTU_002330	gc_000108	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0065	0.0108	0.9827	0	0	3	-23.5451	-22.1283	21.3178	Low-quality	11.21	AAI-based (high-confidence)	75.63	90.66
