genome,threshold,cluster_method,comparison_algorithm,greedy_representative,primary_cluster,original_secondary_cluster,secondary_cluster
AF022214.fasta,0.005,greedy,fastANI,False,0,0_2969,0_2969
AF068845.fasta,0.005,greedy,fastANI,True,0,0_2284,0_2284
AF271693.fasta,0.005,greedy,fastANI,True,0,0_2804,0_2804
AF428260.fasta,0.005,greedy,fastANI,True,0,0_4070,0_4070
AF547430.fasta,0.005,greedy,fastANI,False,0,0_785,0_785
AJ278322.fasta,0.005,greedy,fastANI,True,0,0_3433,0_3433
AP018462.fasta,0.005,greedy,fastANI,True,0,0_1312,0_1312
AP018463.fasta,0.005,greedy,fastANI,False,0,0_1312,0_1312
AP018469.fasta,0.005,greedy,fastANI,False,0,0_1660,0_1660
AP018470.fasta,0.005,greedy,fastANI,True,0,0_1660,0_1660
AP018471.fasta,0.005,greedy,fastANI,False,0,0_1660,0_1660
AP018476.fasta,0.005,greedy,fastANI,True,0,0_2685,0_2685
AP018477.fasta,0.005,greedy,fastANI,True,0,0_2915,0_2915
AP018478.fasta,0.005,greedy,fastANI,False,0,0_2915,0_2915
AP018479.fasta,0.005,greedy,fastANI,False,0,0_2896,0_2896
AP018485.fasta,0.005,greedy,fastANI,False,0,0_3191,0_3191
AP018486.fasta,0.005,greedy,fastANI,True,0,0_2531,0_2531
AP018487.fasta,0.005,greedy,fastANI,True,0,0_3176,0_3176
AY129330.fasta,0.005,greedy,fastANI,True,0,0_1475,0_1475
AY129331.fasta,0.005,greedy,fastANI,True,0,0_479,0_479
AY129332.fasta,0.005,greedy,fastANI,True,0,0_2738,0_2738
AY129333.fasta,0.005,greedy,fastANI,True,0,0_1757,0_1757
AY129334.fasta,0.005,greedy,fastANI,False,0,0_1050,0_1050
AY129335.fasta,0.005,greedy,fastANI,True,0,0_720,0_720
AY129336.fasta,0.005,greedy,fastANI,True,0,0_1830,0_1830
AY129337.fasta,0.005,greedy,fastANI,True,0,0_60,0_60
AY129338.fasta,0.005,greedy,fastANI,True,0,0_282,0_282
AY129339.fasta,0.005,greedy,fastANI,True,0,0_672,0_672
AY320035.fasta,0.005,greedy,fastANI,True,0,0_2962,0_2962
AY500152.fasta,0.005,greedy,fastANI,True,0,0_2648,0_2648
AY500153.fasta,0.005,greedy,fastANI,True,0,0_2405,0_2405
AY576796.fasta,0.005,greedy,fastANI,True,0,0_1575,0_1575
BK061308.fasta,0.005,greedy,fastANI,True,0,0_1028,0_1028
BK061309.fasta,0.005,greedy,fastANI,True,0,0_977,0_977
BK061310.fasta,0.005,greedy,fastANI,True,0,0_1104,0_1104
BK061311.fasta,0.005,greedy,fastANI,True,0,0_1112,0_1112
BK061312.fasta,0.005,greedy,fastANI,True,0,0_1025,0_1025
CP058906.fasta,0.005,greedy,fastANI,True,0,0_3403,0_3403
DQ123818.fasta,0.005,greedy,fastANI,True,0,0_4014,0_4014
DQ372923.fasta,0.005,greedy,fastANI,True,0,0_3802,0_3802
DQ398041.fasta,0.005,greedy,fastANI,True,0,0_563,0_563
DQ398042.fasta,0.005,greedy,fastANI,True,0,0_3487,0_3487
DQ398043.fasta,0.005,greedy,fastANI,True,0,0_2443,0_2443
DQ398044.fasta,0.005,greedy,fastANI,True,0,0_680,0_680
DQ398045.fasta,0.005,greedy,fastANI,True,0,0_1772,0_1772
DQ398046.fasta,0.005,greedy,fastANI,False,0,0_933,0_933
DQ398047.fasta,0.005,greedy,fastANI,False,0,0_1169,0_1169
DQ398048.fasta,0.005,greedy,fastANI,True,0,0_1084,0_1084
DQ398049.fasta,0.005,greedy,fastANI,True,0,0_776,0_776
DQ398050.fasta,0.005,greedy,fastANI,False,0,0_1787,0_1787
DQ398051.fasta,0.005,greedy,fastANI,True,0,0_1154,0_1154
DQ398052.fasta,0.005,greedy,fastANI,True,0,0_384,0_384
DQ398053.fasta,0.005,greedy,fastANI,True,0,0_124,0_124
DQ431235.fasta,0.005,greedy,fastANI,True,0,0_3863,0_3863
DQ499600.fasta,0.005,greedy,fastANI,True,0,0_682,0_682
