"","gene_id","gene_name","spor_gene","X","gene_id.uniref90","gene_description","module","sheet","header","subheader","potential_amg","strain","dan.source","From","Reviewed","Protein.names","Gene.Names","Annotation","Keywords","PubMed.ID","Gene.Names..ORF.","KEGG","eggNOG","RefSeq","CAZy","BRENDA","OrthoDB","Pfam","InterPro","BioCyc","UniPathway","uniprot.source","FinalID"
"1","Bs_abrB","Bs_abrB","Spoulation genes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Bs_cwlJ","Bs_cwlJ","Spoulation genes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bs_lexA","Bs_lexA","Spoulation genes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Bs_parA","Bs_parA","Spoulation genes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Bs_sigH","Bs_sigH","Spoulation genes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Bs_spoIIIE","Bs_spoIIIE","Spoulation genes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bs_spoVG","Bs_spoVG","Spoulation genes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Bs_ylaK","Bs_ylaK","Spoulation genes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","K01447","K01447","Spoulation genes",1067,"P54450","cwlH;N-acetylmuramoyl-L-alanine amidase CwlH","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins","TRUE","bs","DAN","P54450","reviewed","N-acetylmuramoyl-L-alanine amidase CwlH (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)","cwlH yqeE BSU25710","4","Cell wall biogenesis/degradation;Competence;Hydrolase;Reference proteome;Secreted;Signal;Sporulation","8969508; 9384377; 10515909","","bsu:BSU25710;","COG3409;COG5632;","NP_390448.1;WP_003229963.1;","","","9794294at2;","PF01510;PF01471;","IPR036505;IPR002502;IPR051206;IPR002477;IPR036365;IPR036366;","BSUB:BSU25710-MONOMER;","","ML","K01447"
"10","K01448","K01448","Spoulation genes",1239,"Q06320","cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins","TRUE","bs","DAN","Q06320","reviewed","Sporulation-specific N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)","cwlC BSU17410","5","3D-structure;Cell wall;Cell wall biogenesis/degradation;Competence;Direct protein sequencing;Hydrolase;Metal-binding;Reference proteome;Repeat;Secreted;Sporulation;Zinc","8407798; 9384377; 19383706; 7601853; 10945275; 11375403; 16042392","","bsu:BSU17410;","COG0860;","NP_389623.2;WP_003244862.1;","","","9763643at2;","PF01520;PF05036;","IPR002508;IPR050695;IPR007730;IPR036680;","BSUB:BSU17410-MONOMER;","","ML","K01448"
"11","K01448","K01448","Spoulation genes",1500,"Q189Y1","putative N-acetylmuramoyl-L-alanine amidase","sporulation","MISC","sporulation","sporulation","TRUE","cd","DAN","Q189Y1","unreviewed","N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.-)","CD630_07840","1","Hydrolase;Reference proteome","16804543","","cdf:CD630_07840;pdc:CDIF630_00902;","COG0860;","WP_011860957.1;YP_001087261.1;","","","43070at2;","PF01520;","IPR002508;IPR050695;","PDIF272563:G12WB-895-MONOMER;","","ML","K01448"
"12","K01448","K01448","Spoulation genes",1586,"Q18CJ4","Germination-specific N-acetylmuramoyl-L-alanine amidase, Autolysin","sporulation","MISC","sporulation","sporulation","TRUE","cd","DAN","Q18CJ4","unreviewed","Germination-specific N-acetylmuramoyl-L-alanine amidase, Autolysin (EC 3.5.1.28)","cwlD CD630_01060","2","3D-structure;Hydrolase;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Zinc","16804543; 34570752","","cdf:CD630_01060;","COG0860;","WP_011860636.1;YP_001086574.1;","","","9806267at2;","PF01520;","IPR002508;IPR050695;IPR014234;","PDIF272563:G12WB-164-MONOMER;","","ML","K01448"
"13","K01448","K01448","Spoulation genes",1028,"P50864","cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins","TRUE","bs","DAN","P50864","reviewed","Germination-specific N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)","cwlD BSU01530","3","Cell wall biogenesis/degradation;Hydrolase;Reference proteome;Secreted;Signal","7559346; 8969501; 9384377; 14679227","","bsu:BSU01530;","COG0860;","NP_388034.1;WP_004399672.1;","","","9806267at2;","PF01520;","IPR002508;IPR050695;IPR014234;","BSUB:BSU01530-MONOMER;MetaCyc:BSU01530-MONOMER;","","ML","K01448"
"14","K01448","K01448","Spoulation genes",1384,"Q183J9","putative N-acetylmuramoyl-L-alanine amidase","sporulation","MISC","sporulation","sporulation","TRUE","cd","DAN","Q183J9","unreviewed","N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)","CD630_27610","2","3D-structure;Hydrolase;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Zinc","16804543","","cdf:CD630_27610;","COG0860;","WP_011861670.1;YP_001089274.1;","","","9806267at2;","PF01520;","IPR002508;IPR050695;","PDIF272563:G12WB-2920-MONOMER;","","ML","K01448"
"15","K01448","K01448","Spoulation genes",1454,"Q187L1","putative phage-related cell wall hydrolase (endolysin)","sporulation","MISC","sporulation","sporulation","TRUE","cd","DAN","Q187L1","unreviewed","Phage-related cell wall hydrolase (Endolysin)","CD630_18980","1","Hydrolase;Reference proteome","16804543","","cdf:CD630_18980;pdc:CDIF630_02103;","COG0860;","WP_003435466.1;YP_001088405.1;","","","5344211at2;","PF01520;","IPR002508;IPR050695;","PDIF272563:G12WB-2043-MONOMER;","","ML","K01448"
"16","K01971","K01971","Spoulation genes",469,"O34398","ligD;ATP-dependent DNA ligase YkoU","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins","TRUE","bs","DAN","O34398","reviewed","Bifunctional non-homologous end joining protein LigD (NHEJ DNA polymerase) [Includes: DNA ligase (Lig) (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP]); DNA repair polymerase (Pol) (Polymerase/primase)]","ligd ykoU BSU13400","5","ATP-binding;DNA damage;DNA recombination;DNA repair;DNA-binding;DNA-directed DNA polymerase;Exonuclease;Hydrolase;Ligase;Manganese;Metal-binding;Multifunctional enzyme;Nuclease;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Sporulation;Transferase","9384377; 12215643; 16497325; 17293412","","bsu:BSU13400;","COG1793;COG3285;","NP_389223.1;WP_010886495.1;","","","9802472at2;","PF01068;PF21686;","IPR012310;IPR014146;IPR033652;IPR014145;IPR014143;IPR052171;","BSUB:BSU13400-MONOMER;","","ML","K01971"
"17","K02335","K02335","Spoulation genes",1522,"Q18AY7","DNA polymerase I (POLI)","sporulation","MISC","sporulation","sporulation","TRUE","cd","DAN","Q18AY7","unreviewed","DNA polymerase I (EC 2.7.7.7)","polA CD630_11280","2","DNA damage;DNA repair;DNA replication;DNA-binding;DNA-directed DNA polymerase;Exonuclease;Hydrolase;Nuclease;Nucleotidyltransferase;Reference proteome;Transferase","16804543","","cdf:CD630_11280;pdc:CDIF630_01275;","COG0258;COG0749;","WP_009896068.1;YP_001087619.1;","","","9806424at2;","PF01367;PF02739;PF00476;PF22619;","IPR020046;IPR002421;IPR036279;IPR019760;IPR001098;IPR043502;IPR054690;IPR020045;IPR018320;IPR002298;IPR008918;IPR029060;IPR012337;IPR036397;","PDIF272563:G12WB-1258-MONOMER;","","ML","K02335"
"18","K04763","K04763","Spoulation genes",1000,"P46352","ripX;tyrosine recombinase XerD","MISSING","MISC","Genetics","DNA condensation/ segregation","TRUE","bs","DAN","P46352","reviewed","Tyrosine recombinase XerD","xerD ripX ykqM BSU23510","3","Cell cycle;Cell division;Chromosome partition;Cytoplasm;DNA integration;DNA recombination;DNA-binding;Reference proteome","8969508; 9384377; 19383706; 10537218; 10498718","","bsu:BSU23510;","COG4974;","NP_390232.2;WP_004398985.1;","","","9801717at2;","PF02899;PF00589;","IPR044068;IPR011010;IPR013762;IPR002104;IPR010998;IPR004107;IPR011932;IPR023009;IPR050090;","BSUB:BSU23510-MONOMER;","","ML","K04763"
"19","K06217","K06217","Spoulation genes",1342,"Q182C7","PhoH-like protein","sporulation","MISC","sporulation","sporulation","TRUE","cd","DAN","Q182C7","unreviewed","PhoH-like protein","CD630_24411","1","ATP-binding;Nucleotide-binding;Reference proteome","16804543","","cdf:CD630_24411;","COG1702;","YP_001088954.1;","","","9773137at2;","PF02562;","IPR027417;IPR003714;IPR051451;","PDIF272563:G12WB-2594-MONOMER;","","ML","K06217"
