Contig,Study,Viral_Taxonomy,Nucleic_Acid_Type,GTDB_Host,Eukaryotic_or_Prokaryotic_Virus,Length,Circular_Status,Prophage,Prophage_Boundaries,VirSorter_Category,VirFinder_Score,VirFinder_pvalue,Total_Contig_Proteins,CAT_data,No_BUSCO_Hits,BUSCO_Ratio,No_VPF_Hits
Broecker_Sample_ID29-1191-0_NODE_1524_length_8276_cov_8.926043,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,8276,NA,No,NA,1,8.17E-01,2.57E-02,12,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:60.5|186802_Clostridiales:60.5|unclassified|unclassified|unclassified,0,0,40
Broecker_Sample_ID29-1191-0_NODE_1826_length_7254_cov_8.801361,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7254,Circular,No,NA,3,1.89E-01,2.34E-01,11,unclassified|unclassified|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,14
Broecker_Sample_ID29-1191-0_NODE_1995_length_6797_cov_9.057698,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6797,NA,No,NA,1,1.42E-01,2.77E-01,10,Bacteria:100.0|1239_Firmicutes:72.7|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,21
Broecker_Sample_ID29-1191-0_NODE_2048_length_6665_cov_14.955068,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6665,NA,No,NA,2,2.81E-01,1.73E-01,8,unclassified|unclassified|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,11
Broecker_Sample_ID29-1191-0_NODE_2911_length_5216_cov_10.715171,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Ruminococcaceae,Bacteriophage,5216,NA,No,NA,2,7.36E-01,3.88E-02,9,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|541000_Ruminococcaceae:94.5|unclassified|unclassified,0,0,30
Broecker_Sample_ID29-1191-0_NODE_2913_length_5215_cov_19.495155,Broecker_2016,Siphoviridae,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5215,NA,No,NA,2,8.24E-01,2.50E-02,10,Bacteria:100.0|976_Bacteroidetes:97.6|200643_Bacteroidia:97.6|171549_Bacteroidales:97.6|815_Bacteroidaceae:78.6|816_Bacteroides:78.6|unclassified,0,0,18
Broecker_Sample_ID29-1191-0_NODE_364_length_23296_cov_8.034035,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Oscillospiraceae,Bacteriophage,23296,NA,No,NA,2,8.56E-01,2.06E-02,41,Bacteria:100.0|1239_Firmicutes:94.7|186801_Clostridia:91.8|186802_Clostridiales:77.5|NA:62.0|946234_Flavonifractor:58.4|292800_Flavonifractor plautii:58.4,0,0,125
Broecker_Sample_ID29-1191-0_NODE_881_length_12231_cov_17.324573,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,12231,NA,No,NA,2,6.78E-01,4.97E-02,17,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:98.3|186802_Clostridiales:98.3|unclassified|unclassified|unclassified,0,0,20
Broecker_Sample_ID29-1191-0_NODE_952_length_11499_cov_5.112985,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__CAG-138,Bacteriophage,11499,NA,No,NA,1,5.53E-01,7.64E-02,12,Bacteria:100.0|1239_Firmicutes:97.5|186801_Clostridia:80.0|186802_Clostridiales:80.0|unclassified|unclassified|unclassified,0,0,54
Broecker_Sample_ID29-1191-3_NODE_1000_length_7331_cov_2.968252,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7331,NA,No,NA,1,2.40E-01,1.95E-01,9,Bacteria:100.0|1239_Firmicutes:94.3|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,37
Broecker_Sample_ID29-1191-3_NODE_102_length_38363_cov_11.011251,Broecker_2016,Podoviridae,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,38363,Circular,NA,NA,1,9.97E-01,7.28E-04,NA,Viruses:100.0|||Caudovirales:100.0|Podoviridae:100.0|T7virus:100.0|Erwinia phage vB,0,0,108
