#phrog,Domain,#MS,#colMSA,#prot,#annot,Phrog_annot,Phrog_cat,RefSeq,pfam,KEGG,GO
phrog_164,Bacteria:596;Archaea:7,659,1088,603,103,ParA-like partition protein,"DNA, RNA and nucleotide metabolism",ParA [n=28]; dsDNA partitioning pr…,PF00142.17&Fer4_NifH ; 4Fe-4S …,"K03496&parA, soj&chromosom…",GO:0043934 sporulation !!!GO:00164…
phrog_351,Bacteria:353,1019,1363,353,191,RNA polymerase sigma factor,transcription regulation,RNA polymerase sigma factor [n=57]…,PF07638.10&Sigma70_ECF ; ECF s…,"K03086&SIG1, rpoD&RNA poly…",GO:0003677 DNA binding !!!GO:00063…
phrog_1358,Bacteria:109,1412,1675,109,52,FtsK/SpoIIIE-like protein,"moron, auxiliary metabolic gene and host takeover",FtsK [n=10]; FtsK/SpoIIIE family p…,PF09397.9&Ftsk_gamma ; Ftsk ga…,"K03466&ftsK, spoIIIE&DNA s…",GO:0000166 nucleotide binding !!!G…
phrog_3551,Bacteria:40,762,808,40,38,FtsK/SpoIIIE-like protein,"moron, auxiliary metabolic gene and host takeover",DNA translocase [n=9]; FtsK/SpoIII…,PF05872.11&DUF853 ; Bacterial …,"K03466&ftsK, spoIIIE&DNA s…",GO:0016020 membrane !!!GO:0003677 …
phrog_4339,Bacteria:31;Archaea:1,581,1055,32,23,NA,unknown function,heat shock protein [n=8]; ATP-depe…,PF03215.14&Rad17 ; Rad17 cell …,"K03544&clpX, CLPX&ATP-depe…",GO:0006355 regulation of transcrip…
phrog_8268,Bacteria:14,190,194,14,2,spore protease,other,hypothetical protein [n=2]; Spore …,PF06866.10&DUF1256 ; Protein o…,NA,GO:0009847 spore germination !!!GO…
phrog_10856,Bacteria:9,325,353,9,5,sporulation protein,"moron, auxiliary metabolic gene and host takeover",sporulation protein YhbH [n=5]; hy…,PF04285.11&DUF444 ; Protein of…,K09786&K09786&uncharacteri…,GO:0030127 COPII vesicle coat !!!G…
phrog_11726,Bacteria:9,114,115,9,4,sporulation stage III protein D,"moron, auxiliary metabolic gene and host takeover",transcriptional regulator [n=3]; s…,PF07141.10&Phage_term_sma ; Pu…,K06283&spoIIID&putative De…,GO:0006310 DNA recombination !!!GO…
phrog_16914,Bacteria:4;Archaea:1,200,228,5,4,sporulation protein,"moron, auxiliary metabolic gene and host takeover",secreted LysM/SCP-PR1 domain prote…,PF00188.25&CAP ; Cysteine-rich…,NA,NA
phrog_35646,Bacteria:2,93,93,2,2,sporulation protein,"moron, auxiliary metabolic gene and host takeover",stage V sporulation protein S [n=1…,PF04232.11&SpoVS ; Stage V spo…,K06416&spoVS&stage V sporu…,NA
