"","Accession","total.ParS.hits","pos.ParS.hit"
"1","AB009866",0,0
"2","AB016282",0,0
"3","AB044554",0,0
"4","AB045978",0,0
"5","AB243556",0,0
"6","AB370205",0,0
"7","AB370268",0,0
"8","AB605730",0,0
"9","AB609718",0,0
"10","AB626962",0,0
"11","AB626963",0,0
"12","AB711120",0,0
"13","AB712291",0,0
"14","AB823818",0,0
"15","AB853330",0,0
"16","AB853331",0,0
"17","AB903967",0,0
"18","AB930182",0,0
"19","ACSJ01000013",0,0
"20","ACSJ01000015",0,0
"21","ACSJ01000017",0,0
"22","ACSJ01000018",0,0
"23","AF009630",0,0
"24","AF011378",0,0
"25","AF020713",0,0
"26","AF085222",0,0
"27","AF109874",0,0
"28","AF115102",0,0
"29","AF115103",0,0
"30","AF145054",0,0
"31","AF158600",0,0
"32","AF176025",0,0
"33","AF195902",0,0
"34","AF242738",0,0
"35","AF304433",0,0
"36","AF323668",0,0
"37","AF323669",0,0
"38","AF323670",0,0
"39","AF323671",0,0
"40","AF323672",0,0
"41","AF323673",0,0
"42","AF424781",0,0
"43","AF424782",0,0
"44","AF424783",0,0
"45","AF513032",0,0
"46","AF513033",0,0
"47","AJ131519",0,0
"48","AJ242593",0,0
"49","AJ245616",0,0
"50","AJ251789",0,0
"51","AJ302074",0,0
"52","AJ312240",0,0
"53","AJ421943",0,0
"54","AJ536073",0,0
"55","AJ609634",0,0
"56","AM749121",0,0
"57","AP001553",0,0
"58","AP008953",0,0
"59","AP008954",0,0
"60","AP008983",0,0
"61","AP009363",0,0
"62","AP009390",0,0
"63","AP011955",0,0
"64","AP011956",0,0
"65","AP012341",0,0
"66","AP013029",0,0
"67","AP018361",0,0
"68","AP018375",0,0
"69","AP018714",0,0
"70","AP018715",0,0
"71","AP019522",0,0
"72","AP019527",0,0
"73","AP019560",0,0
"74","AP019561",0,0
"75","AP019562",0,0
"76","AY007505",0,0
"77","AY082070",0,0
"78","AY176327",0,0
"79","AY212251",0,0
"80","AY236756",0,0
"81","AY257527",0,0
"82","AY459533",0,0
"83","AY459535",0,0
"84","AY508486",0,0
"85","AY605066",0,0
"86","AY616446",0,0
"87","AY682195",0,0
"88","AY701338",0,0
"89","AY766464",0,0
"90","AY855346",0,0
"91","AY894696",0,0
"92","AY954948",0,0
"93","AY954949",0,0
"94","AY954950",0,0
"95","AY954951",0,0
"96","AY954952",0,0
"97","AY954953",0,0
"98","AY954954",0,0
"99","AY954955",0,0
"100","AY954956",0,0
"101","AY954957",0,0
"102","AY954958",0,0
"103","AY954959",0,0
"104","AY954960",0,0
"105","AY954961",0,0
"106","AY954962",0,0
"107","AY954963",0,0
"108","AY954964",0,0
"109","AY954965",0,0
"110","AY954966",0,0
"111","AY954967",0,0
"112","AY954968",0,0
"113","AY954969",0,0
"114","AY954970",0,0
"115","C2PVCG",0,0
"116","CAJDJX010000002",0,0
"117","CAJDJY010000002",0,0
"118","CAJDJZ010000002",0,0
"119","CAJDKA010000002",0,0
"120","CAJDKB010000002",0,0
"121","CAJDKF010000002",0,0
"122","CP000315",0,0
"123","CP002495",0,0
"124","CP002889",0,0
"125","CP003186",0,0
"126","CP011970",0,0
"127","CP013282",0,0
"128","CP018841",0,0
"129","CP019719",0,0
"130","CP050061",0,0
"131","CP052843",0,0
"132","CP062422",0,0
"133","CP062426",0,0
"134","CP062427",0,0
"135","CP062430",0,0
"136","CP062434",0,0
"137","CP062435",0,0
"138","CP062436",0,0
"139","CP062442",0,0
"140","CP062444",0,0
"141","CP062445",0,0
"142","CP062447",0,0
"143","CP062451",0,0
"144","CP062454",0,0
"145","CP062457",0,0
"146","CP062461",0,0
"147","CP062462",0,0
"148","CP063417",0,0
"149","CP063964",0,0
"150","CP063968",0,0
"151","CP067347",0,0
"152","CP067352",0,0
"153","CP069347",0,0
"154","CP069348",0,0
"155","CP071049",0,0
"156","CP091911",0,0
"157","CP103806",0,0
"158","CP103976",0,0
"159","CP124927",0,0
"160","CP124930",0,0
"161","CP124934",0,0
"162","CP124938",0,0
"163","CP124941",0,0
"164","CP124942",0,0
"165","CP124949",0,0
"166","CP124952",0,0
"167","CP124955",0,0
"168","CP124959",0,0
"169","CP124962",0,0
"170","DQ003637",0,0
"171","DQ003638",1,1
"172","DQ003639",0,0
"173","DQ003640",0,0
"174","DQ003641",0,0
"175","DQ003642",0,0
"176","DQ004855",1,1
"177","DQ054536",0,0
"178","DQ113772",0,0
"179","DQ150593",0,0
"180","DQ222851",0,0
"181","DQ222853",0,0
"182","DQ222855",0,0
"183","DQ227764",0,0
"184","DQ289555",0,0
"185","DQ289556",0,0
"186","DQ320509",0,0
"187","DQ340064",0,0
"188","DQ386162",0,0
"189","DQ394807",0,0
"190","DQ394808",0,0
"191","DQ394809",0,0
"192","DQ394810",0,0
"193","DQ453159",0,0
"194","DQ466086",0,0
"195","DQ517338",0,0
"196","DQ530359",0,0
"197","DQ530360",0,0
"198","DQ530361",0,0
"199","DQ530362",0,0
