"","Sequence_ID","Cluster"
"1","AB002632_0A_Fwd_746","0"
"2","KC357596_0A_Fwd_718","0"
"3","AB008550_0A_Rev_266","1"
"4","BK061475_0A_Rev_264","1"
"5","OR683410_0A_Rev_274","1"
"6","AB008550_0A_Rev_555","2"
"7","BK061475_0A_Rev_482","2"
"8","MK034952_0A_Rev_691","2"
"9","MK511066_0A_Rev_554","2"
"10","OR683410_0A_Rev_647","2"
"11","AB008550_0A_Fwd_318","3"
"12","MK034952_0A_Fwd_454","3"
"13","MK511066_0A_Fwd_317","3"
"14","OR683410_0A_Fwd_410","3"
"15","AB008550_0A_Rev_357","4"
"16","MK034952_0A_Rev_493","4"
"17","MK511066_0A_Rev_357","4"
"18","OR683410_0A_Rev_449","4"
"19","AB008550_0A_Rev_206","5"
"20","BK061475_0A_Rev_188","5"
"21","MK034952_0A_Rev_214","5"
"22","MK511066_0A_Rev_206","5"
"23","OR683410_0A_Rev_215","5"
"24","AB008550_0A_Fwd_298","6"
"25","BK061475_0A_Fwd_295","6"
"26","MK034952_0A_Fwd_305","6"
"27","MK511066_0A_Fwd_295","6"
"28","OR683410_0A_Fwd_305","6"
"29","AB008550_0A_Fwd_176","7"
"30","BK061475_0A_Fwd_157","7"
"31","MK034952_0A_Fwd_184","7"
"32","MK511066_0A_Fwd_175","7"
"33","OR683410_0A_Fwd_184","7"
"34","AB009866_0A_Fwd_277","8"
"35","AB243556_0A_Fwd_536","8"
"36","AF424783_0A_Fwd_358","8"
"37","AP011955_0A_Fwd_644","8"
"38","AP011956_0A_Fwd_644","8"
"39","EF462197_0A_Fwd_431","8"
"40","EF462199_0A_Fwd_427","8"
"41","FJ713816_0A_Fwd_654","8"
"42","KJ596420_0A_Fwd_536","8"
"43","KT809368_0A_Fwd_299","8"
"44","KT809369_0A_Fwd_269","8"
"45","KT878766_0A_Fwd_301","8"
"46","KY653123_0A_Fwd_640","8"
"47","KY653125_0A_Fwd_359","8"
"48","MG029512_0A_Fwd_613","8"
"49","MH401416_0A_Fwd_490","8"
"50","MW924889_0A_Fwd_295","8"
"51","OM439664_0A_Fwd_476","8"
"52","OP136135_0A_Fwd_527","8"
"53","OP493557_0A_Fwd_474","8"
"54","OP493558_0A_Fwd_474","8"
"55","OQ588745_0A_Fwd_351","8"
"56","AB009866_0A_Fwd_881","9"
"57","AB243556_0A_Fwd_270","9"
"58","AF424783_0A_Fwd_258","9"
"59","CP062426_0A_Fwd_869","9"
"60","CP062435_0A_Fwd_871","9"
"61","CP062445_0A_Fwd_871","9"
"62","CP062457_0A_Fwd_871","9"
"63","EF462197_0A_Fwd_266","9"
"64","EF462199_0A_Fwd_259","9"
"65","FJ713816_0A_Fwd_284","9"
"66","GQ915271_0A_Fwd_112","9"
"67","KC342645_0A_Fwd_372","9"
"68","KY653125_0A_Fwd_258","9"
"69","KY695153_0A_Fwd_229","9"
"70","MH384260_0A_Fwd_269","9"
"71","MH401414_0A_Fwd_371","9"
"72","MH401415_0A_Fwd_372","9"
"73","MW627293_0A_Fwd_874","9"
"74","MZ570582_0A_Fwd_159","9"
"75","OM439664_0A_Fwd_267","9"
"76","OP136133_0A_Fwd_260","9"
"77","OP493557_0A_Fwd_276","9"
"78","OQ588745_0A_Fwd_133","9"
"79","OQ687052_0A_Fwd_880","9"
"80","PQ281812_0A_Fwd_270","9"
"81","AB009866_0A_Rev_184","10"
"82","AB044554_0A_Rev_371","10"
"83","AF424783_0A_Rev_355","10"
"84","AP011955_0A_Rev_366","10"
"85","AP011956_0A_Rev_366","10"
"86","AY508486_0A_Rev_179","10"
"87","CP062426_0A_Rev_183","10"
"88","CP062435_0A_Rev_183","10"
"89","CP062445_0A_Rev_183","10"
"90","CP062447_0A_Rev_174","10"
"91","CP062457_0A_Rev_183","10"
"92","DQ530361_0A_Rev_356","10"
"93","EF462197_0A_Rev_363","10"
"94","EF462199_0A_Rev_355","10"
"95","GQ398772_0A_Rev_366","10"
"96","GQ915271_0A_Rev_208","10"
"97","KT809368_0A_Rev_178","10"
"98","KY653125_0A_Rev_354","10"
"99","MG029510_0A_Rev_329","10"
"100","MG029512_0A_Rev_365","10"
"101","MH384259_0A_Rev_356","10"
"102","MH401416_0A_Rev_362","10"
"103","MW924889_0A_Rev_174","10"
"104","OM439664_0A_Rev_364","10"
"105","OP136133_0A_Rev_357","10"
"106","OP493557_0A_Rev_373","10"
"107","OP493558_0A_Rev_362","10"
"108","OQ687052_0A_Rev_184","10"
"109","PQ281812_0A_Rev_367","10"
"110","AB016282_0A_Rev_238","11"
"111","HM072038_0A_Rev_238","11"
"112","AB016282_0A_Fwd_155","12"
"113","HM072038_0A_Fwd_155","12"
"114","OM236514_0A_Fwd_156","12"
"115","AB016282_0A_Fwd_239","13"
"116","HM072038_0A_Fwd_239","13"
"117","AB016282_0A_Rev_378","14"
"118","HM072038_0A_Rev_378","14"
"119","AB016282_0A_Fwd_779","15"
"120","HM072038_0A_Fwd_778","15"
"121","OM236514_0A_Fwd_805","15"
"122","AB036666_0A_Rev_916","16"
"123","AB043678_0A_Fwd_333","17"
"124","AB043679_0A_Fwd_333","17"
"125","MT188662_0A_Fwd_492","17"
"126","MT188663_0A_Fwd_492","17"
"127","AB044554_0A_Rev_826","18"
"128","AY954967_0A_Rev_327","18"
"129","GQ900512_0A_Rev_438","18"
"130","JX094501_0A_Rev_768","18"
"131","KT809369_0A_Rev_316","18"
"132","MT013111_0A_Rev_347","18"
"133","MW627293_0A_Rev_342","18"
"134","OM304856_0A_Rev_102","18"
"135","ON856258_0A_Rev_147","18"
"136","OQ578994_0A_Rev_882","18"
"137","PQ281812_0A_Rev_999","18"
"138","AB045978_0A_Rev_382","19"
"139","AF424781_0A_Rev_366","19"
"140","AF424782_0A_Rev_420","19"
"141","AP001553_0A_Rev_361","19"
"142","AP008953_0A_Rev_363","19"
"143","AP008954_0A_Rev_363","19"
"144","AP009363_0A_Rev_422","19"
"145","AP012341_0A_Rev_421","19"
"146","AY954952_0A_Rev_202","19"
"147","AY954953_0A_Rev_203","19"
"148","AY954955_0A_Rev_215","19"
"149","AY954956_0A_Rev_215","19"
"150","AY954957_0A_Rev_197","19"
"151","AY954962_0A_Rev_191","19"
"152","AY954963_0A_Rev_192","19"
"153","AY954964_0A_Rev_194","19"
"154","AY954965_0A_Rev_194","19"
"155","CP062422_0A_Rev_189","19"
"156","CP062434_0A_Rev_208","19"
"157","CP062442_0A_Rev_208","19"
"158","CP062444_0A_Rev_208","19"
"159","CP062454_0A_Rev_358","19"
"160","CP062461_0A_Rev_208","19"
"161","DQ530359_0A_Rev_367","19"
"162","DQ530360_0A_Rev_367","19"
"163","DQ530362_0A_Rev_367","19"
"164","DQ908929_0A_Rev_344","19"
"165","EF462198_0A_Rev_447","19"
"166","EU861005_0A_Rev_414","19"
"167","GU477322_0A_Rev_177","19"
"168","HQ127381_0A_Rev_247","19"
"169","JQ957932_0A_Rev_410","19"
"170","JX174275_0A_Rev_215","19"
"171","KF598856_0A_Rev_212","19"
"172","KJ716334_0A_Rev_242","19"
"173","KP893290_0A_Rev_362","19"
"174","KR709302_0A_Rev_340","19"
"175","KR709303_0A_Rev_344","19"
"176","KT186243_0A_Rev_215","19"
"177","KY056620_0A_Rev_215","19"
"178","LC541428_0A_Rev_411","19"
"179","LC779550_0A_Rev_375","19"
"180","MF580410_0A_Rev_410","19"
"181","MG029509_0A_Rev_402","19"
"182","MG029511_0A_Rev_412","19"
"183","MG029513_0A_Rev_426","19"
"184","MG029514_0A_Rev_413","19"
"185","MG029515_0A_Rev_406","19"
"186","MG029516_0A_Rev_413","19"
"187","MG029517_0A_Rev_413","19"
"188","MG029518_0A_Rev_410","19"
"189","MG564297_0A_Rev_265","19"
"190","MG770897_0A_Rev_213","19"
"191","MH321492_0A_Rev_201","19"
"192","MH384261_0A_Rev_414","19"
"193","MK348510_0A_Rev_215","19"
"194","MK658834_0A_Rev_192","19"
"195","MK801680_0A_Rev_215","19"
"196","MK801682_0A_Rev_419","19"
"197","MK801683_0A_Rev_402","19"
"198","MK940809_0A_Rev_413","19"
"199","MT366568_0A_Rev_215","19"
"200","MW924497_0A_Rev_214","19"
"201","OL690335_0A_Rev_215","19"
"202","OM439662_0A_Rev_367","19"
"203","OM439665_0A_Rev_430","19"
"204","OM439666_0A_Rev_349","19"
"205","OM439667_0A_Rev_416","19"
"206","OM439668_0A_Rev_359","19"
"207","OM439670_0A_Rev_360","19"
"208","OM439671_0A_Rev_371","19"
"209","OM439672_0A_Rev_364","19"
"210","OM439675_0A_Rev_372","19"
"211","OM687507_0A_Rev_215","19"
"212","ON856257_0A_Rev_825","19"
"213","ON911714_0A_Rev_369","19"
"214","ON911715_0A_Rev_368","19"
"215","ON911716_0A_Rev_371","19"
"216","ON911717_0A_Rev_363","19"
"217","ON911718_0A_Rev_358","19"
"218","ON989481_0A_Rev_402","19"
"219","OP038318_0A_Rev_402","19"
"220","OP038319_0A_Rev_402","19"
"221","OP136131_0A_Rev_424","19"
"222","OP136132_0A_Rev_407","19"
"223","OP136134_0A_Rev_407","19"
"224","OP328420_0A_Rev_413","19"
"225","OP328421_0A_Rev_125","19"
"226","OP328422_0A_Rev_450","19"
"227","OP374154_0A_Rev_402","19"
"228","OP374155_0A_Rev_402","19"
"229","OP374156_0A_Rev_402","19"
"230","OP584903_0A_Rev_413","19"
"231","OP584904_0A_Rev_409","19"
"232","OP661216_0A_Rev_406","19"
"233","OP661217_0A_Rev_406","19"
"234","OQ338183_0A_Rev_208","19"
"235","OQ578993_0A_Rev_433","19"
"236","OQ851348_0A_Rev_332","19"
"237","OR206057_0A_Rev_298","19"
"238","OR453397_0A_Rev_364","19"
"239","OR453398_0A_Rev_364","19"
"240","OR453399_0A_Rev_355","19"
"241","OR479082_0A_Rev_303","19"
"242","PP098622_0A_Rev_360","19"
"243","PP098623_0A_Rev_367","19"
"244","PP098625_0A_Rev_358","19"
"245","PP314034_0A_Rev_363","19"
"246","PP357935_0A_Rev_194","19"
"247","PP544178_0A_Rev_385","19"
"248","PQ567070_0A_Rev_129","19"
"249","AB045978_0A_Fwd_370","20"
"250","AF424782_0A_Fwd_408","20"
"251","AP009363_0A_Fwd_410","20"
"252","AY954955_0A_Fwd_202","20"
"253","AY954956_0A_Fwd_203","20"
"254","CP062442_0A_Fwd_195","20"
"255","CP062461_0A_Fwd_195","20"
"256","EF462198_0A_Fwd_435","20"
"257","KY056620_0A_Fwd_202","20"
"258","LC541428_0A_Fwd_399","20"
"259","LC779550_0A_Fwd_363","20"
"260","MF580410_0A_Fwd_397","20"
"261","MG029511_0A_Fwd_399","20"
"262","MG029513_0A_Fwd_414","20"
"263","MG029514_0A_Fwd_400","20"
"264","MG029516_0A_Fwd_401","20"
"265","MG029517_0A_Fwd_401","20"
"266","MG029518_0A_Fwd_398","20"
"267","MH384261_0A_Fwd_402","20"
"268","MK348510_0A_Fwd_202","20"
"269","MK801680_0A_Fwd_202","20"
"270","MK940809_0A_Fwd_401","20"
"271","OL690335_0A_Fwd_202","20"
"272","OM439667_0A_Fwd_404","20"
"273","ON856257_0A_Fwd_701","20"
"274","ON989481_0A_Fwd_390","20"
"275","OP038318_0A_Fwd_390","20"
"276","OP038319_0A_Fwd_390","20"
"277","OP136131_0A_Fwd_412","20"
"278","OP136132_0A_Fwd_394","20"
"279","OP136134_0A_Fwd_395","20"
"280","OP328420_0A_Fwd_401","20"
"281","OP328421_0A_Fwd_804","20"
"282","OP328422_0A_Fwd_438","20"
"283","OP374154_0A_Fwd_390","20"
"284","OP374155_0A_Fwd_390","20"
"285","OP374156_0A_Fwd_390","20"
"286","OP584903_0A_Fwd_401","20"
"287","OP584904_0A_Fwd_396","20"
"288","OQ338183_0A_Fwd_195","20"
"289","OQ578993_0A_Fwd_421","20"
"290","PQ567070_0A_Fwd_117","20"
"291","AB045978_0A_Fwd_111","21"
"292","AB243556_0A_Fwd_124","21"
"293","AB370205_0A_Fwd_103","21"
"294","AF424783_0A_Fwd_106","21"
"295","AP001553_0A_Fwd_112","21"
"296","AP008953_0A_Fwd_106","21"
"297","AP008954_0A_Fwd_107","21"
"298","AP011955_0A_Fwd_122","21"
"299","AP011956_0A_Fwd_122","21"
"300","AY508486_0A_Fwd_336","21"
"301","AY954951_0A_Fwd_369","21"
"302","AY954952_0A_Fwd_376","21"
"303","AY954953_0A_Fwd_391","21"
"304","AY954961_0A_Fwd_365","21"
"305","AY954966_0A_Fwd_366","21"
"306","AY954967_0A_Fwd_358","21"
"307","CP062422_0A_Fwd_369","21"
"308","CP062426_0A_Fwd_337","21"
"309","CP062430_0A_Fwd_392","21"
"310","CP062435_0A_Fwd_328","21"
"311","CP062445_0A_Fwd_328","21"
"312","CP062451_0A_Fwd_188","21"
"313","CP062457_0A_Fwd_337","21"
"314","CP062462_0A_Fwd_363","21"
"315","DQ517338_0A_Fwd_102","21"
"316","DQ530359_0A_Fwd_105","21"
"317","DQ530360_0A_Fwd_105","21"
"318","DQ530362_0A_Fwd_104","21"
"319","DQ908929_0A_Fwd_978","21"
"320","JX094501_0A_Fwd_105","21"
"321","KC595279_0A_Fwd_108","21"
"322","KJ596420_0A_Fwd_111","21"
"323","KP209285_0A_Fwd_771","21"
"324","KR709303_0A_Fwd_101","21"
"325","KT344895_0A_Fwd_104","21"
