"","Sequence_ID","Cluster"
"1","AB002632_0A_Fwd_746","0"
"2","KC357596_0A_Fwd_718","0"
"3","AB008550_0A_Rev_266","1"
"4","BK061475_0A_Rev_264","1"
"5","OR683410_0A_Rev_274","1"
"6","AB008550_0A_Rev_555","2"
"7","BK061475_0A_Rev_482","2"
"8","MK034952_0A_Rev_691","2"
"9","MK511066_0A_Rev_554","2"
"10","OR683410_0A_Rev_647","2"
"11","AB008550_0A_Fwd_318","3"
"12","MK034952_0A_Fwd_454","3"
"13","MK511066_0A_Fwd_317","3"
"14","AB008550_0A_Rev_357","4"
"15","MK034952_0A_Rev_493","4"
"16","MK511066_0A_Rev_357","4"
"17","OR683410_0A_Rev_449","4"
"18","AB008550_0A_Rev_206","5"
"19","BK061475_0A_Rev_188","5"
"20","MK034952_0A_Rev_214","5"
"21","MK511066_0A_Rev_206","5"
"22","OR683410_0A_Rev_215","5"
"23","AB008550_0A_Fwd_298","6"
"24","BK061475_0A_Fwd_295","6"
"25","MK511066_0A_Fwd_295","6"
"26","OR683410_0A_Fwd_305","6"
"27","AB008550_0A_Fwd_176","7"
"28","BK061475_0A_Fwd_157","7"
"29","MK034952_0A_Fwd_184","7"
"30","MK511066_0A_Fwd_175","7"
"31","OR683410_0A_Fwd_184","7"
"32","AB009866_0A_Fwd_277","8"
"33","AB243556_0A_Fwd_536","8"
"34","AF424783_0A_Fwd_358","8"
"35","AP011955_0A_Fwd_644","8"
"36","AP011956_0A_Fwd_644","8"
"37","EF462197_0A_Fwd_431","8"
"38","EF462199_0A_Fwd_427","8"
"39","FJ713816_0A_Fwd_654","8"
"40","KJ596420_0A_Fwd_536","8"
"41","KT809368_0A_Fwd_299","8"
"42","KT809369_0A_Fwd_269","8"
"43","KT878766_0A_Fwd_301","8"
"44","KY653123_0A_Fwd_640","8"
"45","KY653125_0A_Fwd_359","8"
"46","MG029512_0A_Fwd_613","8"
"47","MH401416_0A_Fwd_490","8"
"48","MW924889_0A_Fwd_295","8"
"49","OM439664_0A_Fwd_476","8"
"50","OP136135_0A_Fwd_527","8"
"51","OP493557_0A_Fwd_474","8"
"52","OP493558_0A_Fwd_474","8"
"53","OQ588745_0A_Fwd_351","8"
"54","AB009866_0A_Fwd_881","9"
"55","AB243556_0A_Fwd_270","9"
"56","AF424783_0A_Fwd_258","9"
"57","CP062426_0A_Fwd_869","9"
"58","CP062435_0A_Fwd_871","9"
"59","CP062445_0A_Fwd_871","9"
"60","CP062457_0A_Fwd_871","9"
"61","EF462197_0A_Fwd_266","9"
"62","EF462199_0A_Fwd_259","9"
"63","FJ713816_0A_Fwd_284","9"
"64","GQ915271_0A_Fwd_112","9"
"65","KC342645_0A_Fwd_372","9"
"66","KY653125_0A_Fwd_258","9"
"67","KY695153_0A_Fwd_229","9"
"68","MH384260_0A_Fwd_269","9"
"69","MH401414_0A_Fwd_371","9"
"70","MH401415_0A_Fwd_372","9"
"71","MW627293_0A_Fwd_874","9"
"72","MZ570582_0A_Fwd_159","9"
"73","OM439664_0A_Fwd_267","9"
"74","OP136133_0A_Fwd_260","9"
"75","OP493557_0A_Fwd_276","9"
"76","OQ588745_0A_Fwd_133","9"
"77","OQ687052_0A_Fwd_880","9"
"78","PQ281812_0A_Fwd_270","9"
"79","AB009866_0A_Rev_184","10"
"80","AB044554_0A_Rev_371","10"
"81","AF424783_0A_Rev_355","10"
"82","AP011955_0A_Rev_366","10"
"83","AP011956_0A_Rev_366","10"
"84","AY508486_0A_Rev_179","10"
"85","CP062426_0A_Rev_183","10"
"86","CP062435_0A_Rev_183","10"
"87","CP062445_0A_Rev_183","10"
"88","CP062447_0A_Rev_174","10"
"89","CP062457_0A_Rev_183","10"
"90","DQ530361_0A_Rev_356","10"
"91","EF462197_0A_Rev_363","10"
"92","EF462199_0A_Rev_355","10"
"93","GQ398772_0A_Rev_366","10"
"94","GQ915271_0A_Rev_208","10"
"95","KT809368_0A_Rev_178","10"
"96","KY653125_0A_Rev_354","10"
"97","MG029510_0A_Rev_329","10"
"98","MG029512_0A_Rev_365","10"
"99","MH384259_0A_Rev_356","10"
"100","MH401416_0A_Rev_362","10"
"101","MW924889_0A_Rev_174","10"
"102","OM439664_0A_Rev_364","10"
"103","OP136133_0A_Rev_357","10"
"104","OP493557_0A_Rev_373","10"
"105","OP493558_0A_Rev_362","10"
"106","OQ687052_0A_Rev_184","10"
"107","PQ281812_0A_Rev_367","10"
"108","AB016282_0A_Rev_238","11"
"109","HM072038_0A_Rev_238","11"
"110","AB016282_0A_Fwd_155","12"
"111","HM072038_0A_Fwd_155","12"
"112","OM236514_0A_Fwd_156","12"
"113","AB016282_0A_Fwd_239","13"
"114","HM072038_0A_Fwd_239","13"
"115","AB016282_0A_Rev_378","14"
"116","HM072038_0A_Rev_378","14"
"117","AB016282_0A_Fwd_779","15"
"118","HM072038_0A_Fwd_778","15"
"119","OM236514_0A_Fwd_805","15"
"120","AB036666_0A_Rev_916","16"
"121","AB043678_0A_Fwd_333","17"
"122","AB043679_0A_Fwd_333","17"
"123","MT188662_0A_Fwd_492","17"
"124","MT188663_0A_Fwd_492","17"
"125","AB044554_0A_Rev_826","18"
"126","AY954967_0A_Rev_327","18"
"127","GQ900512_0A_Rev_438","18"
"128","JX094501_0A_Rev_768","18"
"129","KT809369_0A_Rev_316","18"
"130","MT013111_0A_Rev_347","18"
"131","MW627293_0A_Rev_342","18"
"132","OM304856_0A_Rev_102","18"
"133","ON856258_0A_Rev_147","18"
"134","OQ578994_0A_Rev_882","18"
"135","PQ281812_0A_Rev_999","18"
"136","AB045978_0A_Rev_382","19"
"137","AF424781_0A_Rev_366","19"
"138","AF424782_0A_Rev_420","19"
"139","AP001553_0A_Rev_361","19"
"140","AP008953_0A_Rev_363","19"
"141","AP008954_0A_Rev_363","19"
"142","AP009363_0A_Rev_422","19"
"143","AP012341_0A_Rev_421","19"
"144","AY954952_0A_Rev_202","19"
"145","AY954953_0A_Rev_203","19"
"146","AY954955_0A_Rev_215","19"
"147","AY954956_0A_Rev_215","19"
"148","AY954957_0A_Rev_197","19"
"149","AY954962_0A_Rev_191","19"
"150","AY954963_0A_Rev_192","19"
"151","AY954964_0A_Rev_194","19"
"152","AY954965_0A_Rev_194","19"
"153","CP062422_0A_Rev_189","19"
"154","CP062434_0A_Rev_208","19"
"155","CP062442_0A_Rev_208","19"
"156","CP062444_0A_Rev_208","19"
"157","CP062454_0A_Rev_358","19"
"158","CP062461_0A_Rev_208","19"
"159","DQ530359_0A_Rev_367","19"
"160","DQ530360_0A_Rev_367","19"
"161","DQ530362_0A_Rev_367","19"
"162","DQ908929_0A_Rev_344","19"
"163","EF462198_0A_Rev_447","19"
"164","EU861005_0A_Rev_414","19"
"165","GU477322_0A_Rev_177","19"
"166","HQ127381_0A_Rev_247","19"
"167","JQ957932_0A_Rev_410","19"
"168","JX174275_0A_Rev_215","19"
"169","KF598856_0A_Rev_212","19"
"170","KJ716334_0A_Rev_242","19"
"171","KP893290_0A_Rev_362","19"
"172","KR709302_0A_Rev_340","19"
"173","KR709303_0A_Rev_344","19"
"174","KT186243_0A_Rev_215","19"
"175","KY056620_0A_Rev_215","19"
"176","LC541428_0A_Rev_411","19"
"177","LC779550_0A_Rev_375","19"
"178","MF580410_0A_Rev_410","19"
"179","MG029509_0A_Rev_402","19"
"180","MG029511_0A_Rev_412","19"
"181","MG029513_0A_Rev_426","19"
"182","MG029514_0A_Rev_413","19"
"183","MG029515_0A_Rev_406","19"
"184","MG029516_0A_Rev_413","19"
"185","MG029517_0A_Rev_413","19"
"186","MG029518_0A_Rev_410","19"
"187","MG564297_0A_Rev_265","19"
"188","MG770897_0A_Rev_213","19"
"189","MH321492_0A_Rev_201","19"
"190","MH384261_0A_Rev_414","19"
"191","MK348510_0A_Rev_215","19"
"192","MK658834_0A_Rev_192","19"
"193","MK801680_0A_Rev_215","19"
"194","MK801682_0A_Rev_419","19"
"195","MK801683_0A_Rev_402","19"
"196","MK940809_0A_Rev_413","19"
"197","MT366568_0A_Rev_215","19"
"198","MW924497_0A_Rev_214","19"
"199","OL690335_0A_Rev_215","19"
"200","OM439662_0A_Rev_367","19"
"201","OM439665_0A_Rev_430","19"
"202","OM439666_0A_Rev_349","19"
"203","OM439667_0A_Rev_416","19"
"204","OM439668_0A_Rev_359","19"
"205","OM439670_0A_Rev_360","19"
"206","OM439671_0A_Rev_371","19"
"207","OM439672_0A_Rev_364","19"
"208","OM439675_0A_Rev_372","19"
"209","OM687507_0A_Rev_215","19"
"210","ON856257_0A_Rev_825","19"
"211","ON911714_0A_Rev_369","19"
"212","ON911715_0A_Rev_368","19"
"213","ON911716_0A_Rev_371","19"
"214","ON911717_0A_Rev_363","19"
"215","ON911718_0A_Rev_358","19"
"216","ON989481_0A_Rev_402","19"
"217","OP038318_0A_Rev_402","19"
"218","OP038319_0A_Rev_402","19"
"219","OP136131_0A_Rev_424","19"
"220","OP136132_0A_Rev_407","19"
"221","OP136134_0A_Rev_407","19"
"222","OP328420_0A_Rev_413","19"
"223","OP328421_0A_Rev_125","19"
"224","OP328422_0A_Rev_450","19"
"225","OP374154_0A_Rev_402","19"
"226","OP374155_0A_Rev_402","19"
"227","OP374156_0A_Rev_402","19"
"228","OP584903_0A_Rev_413","19"
"229","OP584904_0A_Rev_409","19"
"230","OP661216_0A_Rev_406","19"
"231","OP661217_0A_Rev_406","19"
"232","OQ338183_0A_Rev_208","19"
"233","OQ578993_0A_Rev_433","19"
"234","OQ851348_0A_Rev_332","19"
"235","OR206057_0A_Rev_298","19"
"236","OR453397_0A_Rev_364","19"
"237","OR453398_0A_Rev_364","19"
"238","OR453399_0A_Rev_355","19"
"239","OR479082_0A_Rev_303","19"
"240","PP098622_0A_Rev_360","19"
"241","PP098623_0A_Rev_367","19"
"242","PP098625_0A_Rev_358","19"
"243","PP314034_0A_Rev_363","19"
"244","PP357935_0A_Rev_194","19"
"245","PP544178_0A_Rev_385","19"
"246","PQ567070_0A_Rev_129","19"
"247","AB045978_0A_Fwd_370","20"
"248","AF424782_0A_Fwd_408","20"
"249","AP009363_0A_Fwd_410","20"
"250","AY954955_0A_Fwd_202","20"
"251","AY954956_0A_Fwd_203","20"
"252","CP062442_0A_Fwd_195","20"
"253","CP062461_0A_Fwd_195","20"
"254","EF462198_0A_Fwd_435","20"
"255","KY056620_0A_Fwd_202","20"
"256","LC779550_0A_Fwd_363","20"
"257","MF580410_0A_Fwd_397","20"
"258","MG029511_0A_Fwd_399","20"
"259","MG029513_0A_Fwd_414","20"
"260","MG029514_0A_Fwd_400","20"
"261","MG029516_0A_Fwd_401","20"
"262","MG029517_0A_Fwd_401","20"
"263","MG029518_0A_Fwd_398","20"
"264","MH384261_0A_Fwd_402","20"
"265","MK348510_0A_Fwd_202","20"
"266","MK801680_0A_Fwd_202","20"
"267","MK940809_0A_Fwd_401","20"
"268","OL690335_0A_Fwd_202","20"
"269","OM439667_0A_Fwd_404","20"
"270","ON856257_0A_Fwd_701","20"
"271","ON989481_0A_Fwd_390","20"
"272","OP038318_0A_Fwd_390","20"
"273","OP038319_0A_Fwd_390","20"
"274","OP136131_0A_Fwd_412","20"
"275","OP136132_0A_Fwd_394","20"
"276","OP136134_0A_Fwd_395","20"
"277","OP328420_0A_Fwd_401","20"
"278","OP328421_0A_Fwd_804","20"
"279","OP328422_0A_Fwd_438","20"
"280","OP374154_0A_Fwd_390","20"
"281","OP374155_0A_Fwd_390","20"
"282","OP374156_0A_Fwd_390","20"
"283","OP584903_0A_Fwd_401","20"
"284","OP584904_0A_Fwd_396","20"
"285","OQ338183_0A_Fwd_195","20"
"286","OQ578993_0A_Fwd_421","20"
"287","PQ567070_0A_Fwd_117","20"
"288","AB045978_0A_Fwd_111","21"
"289","AB243556_0A_Fwd_124","21"
"290","AB370205_0A_Fwd_103","21"
"291","AF424783_0A_Fwd_106","21"
"292","AP001553_0A_Fwd_112","21"
"293","AP008953_0A_Fwd_106","21"
"294","AP008954_0A_Fwd_107","21"
"295","AP011955_0A_Fwd_122","21"
"296","AP011956_0A_Fwd_122","21"
"297","AY508486_0A_Fwd_336","21"
"298","AY954951_0A_Fwd_369","21"
"299","AY954952_0A_Fwd_376","21"
"300","AY954953_0A_Fwd_391","21"
"301","AY954961_0A_Fwd_365","21"
"302","AY954966_0A_Fwd_366","21"
"303","AY954967_0A_Fwd_358","21"
"304","CP062422_0A_Fwd_369","21"
"305","CP062426_0A_Fwd_337","21"
"306","CP062430_0A_Fwd_392","21"
"307","CP062435_0A_Fwd_328","21"
"308","CP062445_0A_Fwd_328","21"
"309","CP062451_0A_Fwd_188","21"
"310","CP062457_0A_Fwd_337","21"
"311","CP062462_0A_Fwd_363","21"
"312","DQ517338_0A_Fwd_102","21"
"313","DQ530359_0A_Fwd_105","21"
"314","DQ530360_0A_Fwd_105","21"
"315","DQ530362_0A_Fwd_104","21"
"316","DQ908929_0A_Fwd_978","21"
"317","JX094501_0A_Fwd_105","21"
"318","KC595279_0A_Fwd_108","21"
"319","KJ596420_0A_Fwd_111","21"
"320","KP209285_0A_Fwd_771","21"
"321","KR709303_0A_Fwd_101","21"
"322","KT344895_0A_Fwd_104","21"
"323","KT809368_0A_Fwd_350","21"
"324","KT878766_0A_Fwd_359","21"
"325","KY653125_0A_Fwd_107","21"
