"","Accession","Host","Description","Classification","Genome.Length..bp.","Jumbophage","molGC....","Molecule","Modification.Date","Number.CDS","Positive.Strand....","Negative.Strand....","Coding.Capacity...","Low.Coding.Capacity.Warning","tRNAs","Lowest.Taxa","Genus","Sub.family","Family","Order","Class","Phylum","Kingdom","Realm","Baltimore.Group","Genbank.Division","Isolation.Host..beware.inconsistent.and.nonsense.values.","X","gtdb_f","f_spor","newgtdb_Domain","hostspec_phage_spor","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","sequence_id","predicted_label","p_temperate","p_virulent","host_phage_spor","sporulation","lifestyle","host_phyla","newgtdb_Phylum2","cluster","ref"
"1","AB002632","Vibrio","Vibrio phage fs2","Vibrio phage fs2 Saetivirus fs2 Saetivirus Inoviridae Tubulavirales Faserviricetes Hofneiviricota Loebvirae Monodnaviria Viruses",8651,FALSE,"44.527","DNA","24-JAN-2009",10,"90","10","87.8395561206797",NA,0,"Saetivirus","Saetivirus","Unclassified","Inoviridae","Tubulavirales","Faserviricetes","Hofneiviricota","Loebvirae","Monodnaviria","Group II","PHG","Vibrio cholerae O139 strain MDO14",132257,"Vibrionaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",31625,"temperate","0.7617917390088466","0.23820826099115344","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"2","AB008550","Pseudomonas","Pseudomonas phage phiCTX","Pseudomonas phage phiCTX Citexvirus phiCTX Citexvirus Peduoviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",35580,FALSE,"62.622","DNA","10-NOV-2022",43,"86.046511627907","13.953488372093","89.114671163575",NA,0,"Citexvirus","Citexvirus","Unclassified","Peduoviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Pseudomonas aeruginosa (strain PA158)",88834,"Pseudomonadaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",15130,"temperate","0.9776578619689378","0.022342138031062088","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"3","AB009866","Staphylococcus","Staphylococcus phage PVL","Staphylococcus phage PVL Peeveelvirus PVL Peeveelvirus Bronfenbrennervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",41401,FALSE,"33.555","DNA","26-JUL-2016",64,"92.1875","7.8125","91.7803917779764",NA,0,"Peeveelvirus","Peeveelvirus","Bronfenbrennervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Staphylococcus aureus ATCC 49775",109011,"Staphylococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Staphylococcales",31624,"temperate","0.9933444369014734","0.006655563098526644","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_1367","ref_seq"
"4","AB012574","Vibrio","Vibrio phage Vf12","Vibrio phage Vf12 Villovirus Vf33 Villovirus Inoviridae Tubulavirales Faserviricetes Hofneiviricota Loebvirae Monodnaviria Viruses",7965,FALSE,"45.675","DNA","04-DEC-2008",13,"69.2307692307692","30.7692307692308","87.6459510357816",NA,0,"Villovirus","Villovirus","Unclassified","Inoviridae","Tubulavirales","Faserviricetes","Hofneiviricota","Loebvirae","Monodnaviria","Group II","PHG","Vibrio parahaemolyticus",132257,"Vibrionaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",31633,"virulent","0.48185188045659993","0.5181481195434001","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"5","AB016282","Bacillus","Bacillus phage phi105","Bacillus phage phi105 Spizizenvirus sv105 Spizizenvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39325,FALSE,"42.690","DNA","25-MAR-1999",57,"85.9649122807018","14.0350877192982","92.5060394151303",NA,0,"Spizizenvirus","Spizizenvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",10934,"Bacillaceae","TRUE","Bacteria","Bacillota_Temp_Spor","Bacillota","Bacilli","Bacillales",31741,"temperate","0.980642005955394","0.019357994044605958","Bacillota_Temp_Spor","Spor","Temp","Bacillota","Bacillota_Spor","0_1640","ref_seq"
"6","AB036666","Wolbachia","Wolbachia phage WO","Wolbachia phage WO Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",32987,FALSE,"35.008","DNA","23-AUG-2007",34,"79.4117647058823","20.5882352941176","87.898262952072",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",8625,"Anaplasmataceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Alphaproteobacteria","Rickettsiales",31676,"temperate","0.8778423303516547","0.12215766964834524","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"7","AB043678","Vibrio","Vibrio phage VfO3K6","Vibrio phage VfO3K6 Versovirus VfO3K6 Versovirus Inoviridae Tubulavirales Faserviricetes Hofneiviricota Loebvirae Monodnaviria Viruses",8784,FALSE,"45.162","DNA","27-JAN-2009",13,"76.9230769230769","23.0769230769231","85.0068306010929",NA,0,"Versovirus","Versovirus","Unclassified","Inoviridae","Tubulavirales","Faserviricetes","Hofneiviricota","Loebvirae","Monodnaviria","Group II","PHG","Vibrio parahaemolyticus O3:K6",132257,"Vibrionaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",31623,"temperate","0.5255445208484603","0.47445547915153974","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"8","AB043679","Vibrio","Vibrio phage VfO4K68","Vibrio phage VfO4K68 Versovirus VfO3K6 Versovirus Inoviridae Tubulavirales Faserviricetes Hofneiviricota Loebvirae Monodnaviria Viruses",6891,FALSE,"47.236","DNA","27-JAN-2009",10,"100","0","82.1506312581628",NA,0,"Versovirus","Versovirus","Unclassified","Inoviridae","Tubulavirales","Faserviricetes","Hofneiviricota","Loebvirae","Monodnaviria","Group II","PHG","Vibrio parahaemolyticus O4:K68",132257,"Vibrionaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",31622,"virulent","0.38428075398416206","0.615719246015838","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"9","AB044554","Staphylococcus","Staphylococcus prophage phiPV83","Staphylococcus prophage phiPV83 Peeveelvirus PV83 Peeveelvirus Bronfenbrennervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",45636,FALSE,"33.476","DNA","04-DEC-2008",68,"86.7647058823529","13.2352941176471","89.4951354194057",NA,0,"Peeveelvirus","Peeveelvirus","Bronfenbrennervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Staphylococcus aureus",109011,"Staphylococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Staphylococcales",31632,"temperate","0.9915303655028574","0.008469634497142529","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_968","ref_seq"
"10","AB045978","Staphylococcus","Staphylococcus phage phiSLT","Staphylococcus phage phiSLT Triavirus SLT Triavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",42942,FALSE,"33.312","DNA","15-JUN-2022",68,"86.7647058823529","13.2352941176471","93.0208187788179",NA,0,"Triavirus","Triavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",109011,"Staphylococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Staphylococcales",16687,"temperate","0.9938818770413552","0.006118122958644733","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_1185","ref_seq"
