"","spor_db_id","protein_id","spor_db_hit","spor_db_identity","spor_db_bitScore","spor_db_eVal","Protein.names","Gene.Names","data.set"
"1","A0AAT9J3Y0","3300018085.a:Ga0187772_10000020_24","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.319,66,2.169e-13,"Cell shape determination factor","rodZ BSU_16910","GSV"
"2","A0AAT9J3Y0","3300036929.a:Ga0334880_000118_3","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.46,60,1.585e-10,"Cell shape determination factor","rodZ BSU_16910","GSV"
"3","A0AAT9J3Y0","3300036835.a:Ga0376027_0003371_17","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.459,61,1.107e-11,"Cell shape determination factor","rodZ BSU_16910","GSV"
"4","A0AAT9J3Y0","3300037258.a:Ga0376646_0001779_4","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.316,66,2.574e-13,"Cell shape determination factor","rodZ BSU_16910","GSV"
"5","A0AAT9J3Y0","3300005535.a:Ga0070684_100340069_2","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.327,65,1.105e-13,"Cell shape determination factor","rodZ BSU_16910","GSV"
"6","A0AAT9J3Y0","3300036835.a:Ga0376027_0001439_23","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.443,62,3.567e-12,"Cell shape determination factor","rodZ BSU_16910","GSV"
"7","A0AAT9J3Y0","3300033891.a:Ga0334811_000010_49","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.46,60,1.585e-10,"Cell shape determination factor","rodZ BSU_16910","GSV"
"8","A0AAT9J3Y0","3300039399.a:Ga0435672_0000309_15","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.434,62,2.409e-12,"Cell shape determination factor","rodZ BSU_16910","GSV"
"9","A0AAT9J3Y0","3300005981.a:Ga0081538_10000200_23","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.454,61,1.14e-11,"Cell shape determination factor","rodZ BSU_16910","GSV"
"10","A0AAT9J3Y0","3300005985.a:Ga0081539_10001472_14","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.303,62,4.695e-12,"Cell shape determination factor","rodZ BSU_16910","GSV"
"11","A0AAT9J3Y0","3300039399.a:Ga0435672_0000015_20","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.501,64,1.15e-12,"Cell shape determination factor","rodZ BSU_16910","GSV"
"12","A0AAT9J3Y0","3300036818.a:Ga0376688_0002051_11","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.298,63,2.596e-12,"Cell shape determination factor","rodZ BSU_16910","GSV"
"13","A0AAT9J3Y0","3300038427.a:Ga0427947_000739_11","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.498,68,5.339e-14,"Cell shape determination factor","rodZ BSU_16910","GSV"
"14","A0AAT9J3Y0","3300039399.a:Ga0435672_0001186_9","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.49,67,9.63e-14,"Cell shape determination factor","rodZ BSU_16910","GSV"
"15","A0AAT9J3Y0","3300038400.a:Ga0418695_00000105_41","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.371,80,3.16e-18,"Cell shape determination factor","rodZ BSU_16910","GSV"
"16","A0AAT9J3Y0","3300036826.a:Ga0376034_0001027_11","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.472,63,2.139e-12,"Cell shape determination factor","rodZ BSU_16910","GSV"
"17","A0AAT9J3Y0","OR846588_38","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.378,86,1.137e-19,"Cell shape determination factor","rodZ BSU_16910","INPHARED"
"18","A0AAT9J3Y0","3300026121.a:Ga0207683_10000093_33","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.327,66,1.926e-13,"Cell shape determination factor","rodZ BSU_16910","GSV"
