Phage_ID	Length	GC_content	Taxonomy	Completeness	Host	Lifestyle	Cluster	Subcluster
Broecker_Sample_ID29-1191-0_NODE_1524_length_8276_cov_8.926043	8276	57.63653939101015	Caudovirales	Low-quality	Coprococcus eutactus	virulent	cluster_252733	subcluster_317457
Broecker_Sample_ID29-1191-0_NODE_1826_length_7254_cov_8.801361	7254	50.26192445547284	Caudovirales	Not-determined	Flavonifractor plautii	temperate	cluster_254549	subcluster_319654
Broecker_Sample_ID29-1191-0_NODE_1995_length_6797_cov_9.057698	6797	57.49595409739591	Caudovirales	Low-quality	Salmonella enterica	temperate	cluster_14217	subcluster_17619
Broecker_Sample_ID29-1191-0_NODE_2048_length_6665_cov_14.955068	6665	45.19129782445612	Caudovirales	Not-determined	Lachnospira eligens	virulent	cluster_213617	subcluster_268936
Broecker_Sample_ID29-1191-0_NODE_2911_length_5216_cov_10.715171	5216	50.17254601226993	Caudovirales	Low-quality	Ruminococcaceae	virulent	cluster_37170	subcluster_46762
Broecker_Sample_ID29-1191-0_NODE_2913_length_5215_cov_19.495155	5215	38.38926174496644		Low-quality	Bacteroides fragilis	virulent	cluster_140162	subcluster_176503
Broecker_Sample_ID29-1191-0_NODE_364_length_23296_cov_8.034035	23296	52.76871565934066	Caudovirales	Medium-quality	Oscillospiraceae	virulent	cluster_236132	subcluster_297034
Broecker_Sample_ID29-1191-0_NODE_881_length_12231_cov_17.324573	12231	43.73313711062056	Caudovirales	Not-determined	Lachnospiraceae	temperate	cluster_229269	subcluster_288558
Broecker_Sample_ID29-1191-0_NODE_952_length_11499_cov_5.112985	11499	56.98756413601183	Caudovirales	Low-quality	CAG-138	virulent	cluster_220958	subcluster_278442
Broecker_Sample_ID29-1191-3_NODE_1000_length_7331_cov_2.968252	7331	40.06274723775747	Caudovirales	Low-quality	Lachnospira eligens	temperate	cluster_154953	subcluster_194921
Broecker_Sample_ID29-1191-3_NODE_1021_length_7202_cov_3.017350	7202	39.23910024993057	Caudovirales	Low-quality	Bacteroides dorei	virulent	cluster_64785	subcluster_81699
Broecker_Sample_ID29-1191-3_NODE_102_length_38363_cov_11.011251	38363	51.96152542814691	Caudovirales	Complete	Erwinia amylovora	virulent	cluster_217475	subcluster_273928
Broecker_Sample_ID29-1191-3_NODE_1210_length_6284_cov_3.820677	6284	50.8274984086569	Caudovirales	Not-determined	Lachnospiraceae	virulent	cluster_215590	subcluster_271582
Broecker_Sample_ID29-1191-3_NODE_1276_length_6000_cov_8.699916	6000	47.86666666666667	CressDNAParvo	Not-determined	Acutalibacteraceae	temperate	cluster_182706	subcluster_230558
Broecker_Sample_ID29-1191-3_NODE_381_length_14378_cov_2.795364	14378	52.24648768952567	Caudovirales	Not-determined	Flavonifractor plautii	temperate	cluster_256776	subcluster_322372
Broecker_Sample_ID29-1192-0_NODE_1219_length_10495_cov_2.580843	10495	50.28108623153883	Caudovirales	Low-quality	Oscillospiraceae	virulent	cluster_14994	subcluster_18651
