Phage_ID	Length	GC_content	Taxonomy	Completeness	Host	Lifestyle	Cluster	Subcluster
ivig_1	18045	50.462732058742034	Caudovirales	Low-quality	Enterobacter xiangfangensis	temperate	cluster_142835	subcluster_179855
ivig_2	27391	50.899930634149904	Caudovirales	Medium-quality	Enterobacter xiangfangensis	temperate	cluster_81468	subcluster_102299
ivig_3	19198	47.4945306802792	Caudovirales	Low-quality	Enterobacter xiangfangensis	temperate	cluster_184182	subcluster_232293
ivig_6	40928	37.3436278342455	Caudovirales	High-quality	Streptococcus pasteurianus	temperate	cluster_20415	subcluster_25578
ivig_7	43234	37.87990933061942	Caudovirales	High-quality	Streptococcus pasteurianus	temperate	cluster_5913	subcluster_7228
ivig_8	49829	35.14218627706757	Caudovirales	High-quality	Streptococcus pneumoniae	temperate	cluster_100867	subcluster_127249
ivig_9	51236	33.433523303926926	Caudovirales	High-quality	Dielma fastidiosa	temperate	cluster_97965	subcluster_123339
ivig_10	46249	32.876386516465224	Caudovirales	High-quality	Eubacterium hallii	temperate	cluster_206271	subcluster_259626
ivig_12	41476	45.77587038287202	Caudovirales	Medium-quality	Clostridium M bolteae;Clostridium M clostridioformis	virulent	cluster_267248	subcluster_335437
ivig_13	35791	46.05347713112235	Caudovirales	Medium-quality	NA;Clostridium M bolteae;Clostridium M clostridioformis	temperate	cluster_227994	subcluster_286895
ivig_14	34608	54.05397595931577	Caudovirales	High-quality	Clostridium M clostridioformis;NA;Clostridium M bolteae	temperate	cluster_233137	subcluster_293443
ivig_16	40323	42.99035290032984	Caudovirales	High-quality	Coprococcus catus	virulent	cluster_245657	subcluster_308716
ivig_17	62833	57.42046376903856	Caudovirales	High-quality	Faecalibacterium prausnitzii	temperate	cluster_104763	subcluster_132061
ivig_18	30631	57.78786196989978	Caudovirales	Medium-quality	Faecalibacterium prausnitzii	temperate	cluster_80239	subcluster_100843
ivig_19	26890	46.06173298624024	Caudovirales	Medium-quality	Clostridium bolteae	virulent	cluster_130908	subcluster_164742
ivig_20	26423	41.18381712901639	Caudovirales	Medium-quality	Clostridium M bolteae;Clostridium M clostridioformis;NA	temperate	cluster_255039	subcluster_320270
ivig_22	33217	45.67239666435861	Caudovirales	Medium-quality	Clostridium M clostridioformis;Clostridium Q symbiosum;Clostridium M bolteae	virulent	cluster_91703	subcluster_115482
ivig_23	34403	45.559980234281895	Caudovirales	Medium-quality	Clostridium M bolteae;Clostridium M clostridioformis	virulent	cluster_78581	subcluster_98846
ivig_27	18209	44.77456202976551	Caudovirales	Low-quality	Clostridium citroniae	temperate	cluster_85461	subcluster_107568
