Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Annotation Release Date	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly Stats GC Percent	Annotation BUSCO Complete	Annotation BUSCO Single Copy	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Missing	Annotation BUSCO Lineage	Annotation Count Gene Total	CheckM marker set	CheckM completeness	CheckM contamination
ASM904v1	GCF_000009045.1	GCA_000009045.1	Bacillus subtilis subsp. subtilis str. 168	224308		168					Annotation submitted by NCBI RefSeq	2021-02-12	4215606	1	1	Complete Genome	2009-08-12		1	43.5							4536	Bacillus subtilis	98.62	1.32
ASM1578v2	GCF_000015785.2	GCA_000015785.2	Bacillus velezensis FZB42	326423		FZB42					GCF_000015785.2-RS_2025_04_02	2025-04-02	3918596	1	1	Complete Genome	2019-06-24		1	46.5							3883	Bacillus	99.41	
NCTC7465	GCF_001457635.1	GCA_001457635.1	Streptococcus pneumoniae	1313		NCTC7465					GCF_001457635.1-RS_2025_11_20	2025-11-20	2110968	1	1	Complete Genome	2015-03-22		1	39.5							2190	Streptococcus pneumoniae	98.4	0.94
ASM609437v1	GCF_006094375.1	GCA_006094375.1	Staphylococcus epidermidis	1282		ATCC 14990					GCF_006094375.1-RS_2025_04_23	2025-04-23	2491058	3	3	Complete Genome	2019-06-06		3	32							2368	Staphylococcus epidermidis	99.68	
ASM609449v1	GCF_006094495.1	GCA_006094495.1	Priestia megaterium NBRC 15308 = ATCC 14581	1348623		ATCC 14581					GCF_006094495.1-RS_2025_05_17	2025-05-17	5746548	7	7	Complete Genome	2019-06-06		7	38							6007	Bacillus megaterium	96.6	4.5
ASM3447892v1	GCF_034478925.1	GCA_034478925.1	Bacillus licheniformis	1402		ATCC 14580					GCF_034478925.1-RS_2025_03_02	2025-03-02	4227253	1	1	Complete Genome	2023-12-19		1	46							4384	Bacillus licheniformis	98.5	0.83
ASM1904864v1	GCF_019048645.1	GCA_019048645.1	Streptococcus mutans	1309		FDAARGOS 1458					GCF_019048645.1-RS_2025_07_20	2025-07-20	2019345	1	1	Complete Genome	2021-06-28		1	37							2011	Streptococcus mutans	99.57	0.41
ASM1602737v1	GCF_016027375.1	GCA_016027375.1	Clostridium perfringens	1502		FDAARGOS_903					GCF_016027375.1-RS_2024_10_16	2024-10-16	3355233	2	2	Complete Genome	2020-12-14		2	28.5							3062	Clostridium perfringens	96.42	3.85
ASM2281156v1	GCF_022811565.1	GCA_022811565.1	Paenibacillus polymyxa ATCC 842	1036171		ATCC 842					GCF_022811565.1-RS_2025_04_21	2025-04-21	5967522	2	2	Complete Genome	2022-04-04		2	45							5448	Paenibacillus	99.5	0.58
45709_F01	GCF_900475625.1	GCA_900475625.1	Levilactobacillus brevis	1580		NCTC13768					GCF_900475625.1-RS_2025_04_07	2025-04-07	2494328	1	1	Complete Genome	2018-06-17		1	46							2471	Lactobacillus brevis	98.13	5.03
ASM83290v1	GCF_000832905.1	GCA_000832905.1	Heyndrickxia coagulans DSM 1 = ATCC 7050	1121088		ATCC 7050					GCF_000832905.1-RS_2025_04_07	2025-04-07	3366995	1	1	Complete Genome	2015-02-05		1	47							3354	Bacillus coagulans	97.62	0.6
ASM1444v1	GCF_000014445.1	GCA_000014445.1	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	203120		ATCC 8293					GCF_000014445.1-RS_2025_04_11	2025-04-11	2075763	2	2	Complete Genome	2006-10-13		2	37.5							2101	Leuconostoc mesenteroides	98.56	0.19
ASM188892v1	GCF_001888925.1	GCA_001888925.1	Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046	1217420		DSM 26046					GCF_001888925.1-RS_2025_03_05	2025-03-05	1891796	1	1	Complete Genome	2016-12-05		1	50							1948	Lactobacillus delbrueckii	98.93	1.51
ASM1602663v1	GCF_016026635.1	GCA_016026635.1	Staphylococcus pseudintermedius	283734		FDAARGOS_930					GCF_016026635.1-RS_2025_04_06	2025-04-06	2562839	1	1	Complete Genome	2020-12-14		1	37.5							2416	Staphylococcus pseudintermedius	97.82	1.78
ASM3429813v1	GCF_034298135.1	GCA_034298135.1	Lactobacillus acidophilus	1579		ATCC 4356					GCF_034298135.1-RS_2025_12_09	2025-12-09	1978847	1	1	Complete Genome	2023-12-12		1	34.5							1921	Lactobacillus acidophilus	95.66	0.26
ASM1413179v1	GCF_014131795.1	GCA_014131795.1	Clostridium butyricum	1492		DSM 10702					GCF_014131795.1-RS_2025_04_15	2025-04-15	4705596	4	4	Complete Genome	2020-08-10		4	28.5							4338	Clostridium butyricum	96.97	2.77
ASM609439v1	GCF_006094395.1	GCA_006094395.1	Staphylococcus haemolyticus	1283		ATCC 29970					GCF_006094395.1-RS_2025_05_17	2025-05-17	2572027	3	3	Complete Genome	2019-06-06		3	33							2512	Staphylococcus	98.58	
ASM1602669v1	GCF_016026695.1	GCA_016026695.1	Lactococcus garvieae	1363		FDAARGOS_929					GCF_016026695.1-RS_2024_12_13	2024-12-13	2084337	2	2	Complete Genome	2020-12-14		2	38.5							2111	Lactococcus garvieae	93.95	10.08
ASM1442v1	GCF_000014425.1	GCA_000014425.1	Lactobacillus gasseri ATCC 33323 = JCM 1131	324831		ATCC 33323					GCF_000014425.1-RS_2025_03_27	2025-03-27	1894360	1	1	Complete Genome	2006-10-13		1	35.5							1884	Lactobacillus gasseri	99.5	0.27
ASM82905v1	GCF_000829055.1	GCA_000829055.1	Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393	1423732		ATCC 393					GCF_000829055.1-RS_2025_03_28	2025-03-28	2952961	3	3	Complete Genome	2013-08-14		3	48							2892	Lactobacillus casei	86.97	1.55
ASM364118v1	GCF_003641185.1	GCA_003641185.1	Lactiplantibacillus pentosus	1589		DSM 20314					GCF_003641185.1-RS_2025_12_11	2025-12-11	3671373	2	2	Complete Genome	2018-10-15		2	46.5							3357	Lactobacillaceae	99.35	1.88
ASM1822374v1	GCF_018223745.1	GCA_018223745.1	Clostridium beijerinckii	1520		DSM 791					GCF_018223745.1-RS_2025_03_17	2025-03-17	5950247	2	2	Complete Genome	2021-05-02		2	30							5343	Clostridium beijerinckii	91.8	6.46
40295_D02	GCF_900474615.1	GCA_900474615.1	Mammaliicoccus sciuri	1296		NCTC12103					GCF_900474615.1-RS_2025_12_12	2025-12-12	2811859	1	1	Complete Genome	2018-06-18		1	32.5							2797	Staphylococcaceae	98.2	3.01
ASM410184v1	GCF_004101845.1	GCA_004101845.1	Latilactobacillus curvatus JCM 1096 = DSM 20019	1293592		DSM 20019					GCF_004101845.1-RS_2025_04_27	2025-04-27	1916521	2	2	Complete Genome	2019-01-22		2	42							1992	Lactobacillaceae	98.69	0.74
ASM270679v1	GCF_002706795.1	GCA_002706795.1	Brevibacillus laterosporus DSM 25	1121121		DSM 25					GCF_002706795.1-RS_2025_03_05	2025-03-05	5400144	1	1	Complete Genome	2017-10-25		1	40.5							5002	Brevibacillus laterosporus	99.24	2.53
42197_F01	GCF_900636475.1	GCA_900636475.1	Streptococcus anginosus	1328		NCTC10713					GCF_900636475.1-RS_2025_12_13	2025-12-13	1953654	1	1	Complete Genome	2018-12-20		1	38.5							1939	Streptococcus anginosus	99.27	0.08
46338_H01	GCF_900637025.1	GCA_900637025.1	Streptococcus oralis ATCC 35037	655813		NCTC 11427					GCF_900637025.1-RS_2025_03_16	2025-03-16	1931548	1	1	Complete Genome	2018-12-20		1	41.5							1871	Streptococcus oralis	98.81	0.09
ASM22746v1	GCF_000227465.1	GCA_000227465.1	Bacillus spizizenii TU-B-10	1052585		TU-B-10					GCF_000227465.1-RS_2025_09_13	2025-09-13	4207222	1	1	Complete Genome	2011-10-05		1	44							4301	Bacillus	98.29	0.29
ASM3447930v1	GCF_034479305.1	GCA_034479305.1	Shouchella clausii	79880		ATCC 700160					GCF_034479305.1-RS_2025_12_10	2025-12-10	4498248	1	1	Complete Genome	2023-12-19		1	44.5							4464	Bacillaceae	99.35	0.67
ASM23692v1	GCF_000236925.1	GCA_000236925.1	Staphylococcus argenteus	985002		MSHR1132					GCF_000236925.1-RS_2025_12_11	2025-12-11	2787638	2	2	Complete Genome	2011-11-10		2	32.5							2692	Staphylococcus	99.03	0.08
ASM298211v1	GCF_002982115.1	GCA_002982115.1	Lysinibacillus sphaericus	1421		DSM 28					GCF_002982115.1-RS_2025_08_25	2025-08-25	4681723	1	1	Complete Genome	2018-03-08		1	37.5							4635	Lysinibacillus	88.16	9.38
ASM1586v1	GCF_000015865.1	GCA_000015865.1	Acetivibrio thermocellus ATCC 27405	203119		ATCC 27405					GCF_000015865.1-RS_2025_08_23	2025-08-23	3843301	1	1	Complete Genome	2007-02-14		1	39							3405	Clostridium thermocellum	98.29	1.32
DSM6717	GCF_040739365.1	GCA_040739365.1	Staphylococcus capitis subsp. urealyticus	74703		DSM 6717					GCF_040739365.1-RS_2024_07_17	2024-07-17	2497742	3	3	Complete Genome	2024-07-18		3	33							2450	Staphylococcus	99.44	0.08
ASM281375v1	GCF_002813755.1	GCA_002813755.1	Enterococcus mundtii	53346		DSM 4838					GCF_002813755.1-RS_2025_03_05	2025-03-05	3504528	2	2	Complete Genome	2017-12-07		2	38							3282	Enterococcus	99.1	1.38
