fasta_id	sequence_id	predicted_label	p_temperate	p_virulent
PP099880	0	temperate	0.5723761379853414	0.4276238620146586
PQ613263	1	virulent	0.02672567934236359	0.9732743206576364
PQ614275	2	virulent	0.0922374632457769	0.907762536754223
PQ678706	3	virulent	0.00781866912270743	0.9921813308772925
PQ678705	4	virulent	0.023126332052386993	0.976873667947613
PQ464790	5	virulent	0.01663525732568575	0.9833647426743142
PQ464789	6	virulent	0.01637115009098432	0.9836288499090158
PQ773600	7	virulent	0.05034883292111704	0.9496511670788829
PQ819477	8	virulent	0.03505055208665481	0.9649494479133452
PQ819476	9	virulent	0.031042618057558664	0.9689573819424414
PQ819475	10	virulent	0.035496823638149586	0.9645031763618505
PQ819474	11	virulent	0.03886649442345934	0.9611335055765408
PQ819473	12	virulent	0.03547101284027729	0.9645289871597227
PQ819472	13	virulent	0.04288564259058612	0.9571143574094139
PQ819471	14	virulent	0.03833042641319217	0.9616695735868078
PQ819470	15	virulent	0.030716488456219524	0.9692835115437805
PQ064465	16	virulent	0.035517137467760355	0.9644828625322397
PQ803403	17	virulent	0.01453969290909954	0.9854603070909005
PQ803402	18	virulent	0.3810059163455968	0.6189940836544032
PQ803401	19	virulent	0.41955448360068476	0.5804455163993152
PQ465216	20	temperate	0.5135067319944431	0.48649326800555687
PQ493298	21	virulent	0.014385784726816248	0.9856142152731837
PQ826494	22	temperate	0.9898417572534931	0.010158242746506925
LC816585	23	temperate	0.9707128575950594	0.029287142404940528
PQ309151	24	virulent	0.06638128514276093	0.9336187148572391
PQ471516	25	virulent	0.046687809910941604	0.9533121900890584
PQ471515	26	virulent	0.039879636115886324	0.9601203638841137
PQ818400	27	virulent	0.03925028636324934	0.9607497136367507
PQ641135	28	virulent	0.06248910456958359	0.9375108954304163
PQ619753	29	virulent	0.3078483041618922	0.6921516958381078
PQ434693	30	virulent	0.10471602724581527	0.8952839727541847
PQ434692	31	virulent	0.09099647394565284	0.9090035260543472
PQ394075	32	temperate	0.688430610071697	0.31156938992830296
PQ394074	33	temperate	0.6918095528021863	0.30819044719781374
PQ349087	34	temperate	0.9671946107283491	0.032805389271650866
PQ349086	35	temperate	0.9718075058997642	0.02819249410023582
PP996006	36	virulent	0.15011313642314666	0.8498868635768533
PQ589213	37	virulent	0.0016746461455084808	0.9983253538544915
PQ589212	38	temperate	0.5028163457995952	0.49718365420040483
PQ589211	39	virulent	0.13619763375969413	0.8638023662403059
PQ589210	40	virulent	0.08988365079684742	0.9101163492031525
PQ820062	41	temperate	0.7693886984456069	0.2306113015543932
PQ820061	42	temperate	0.7843643551458291	0.21563564485417092
PQ820060	43	temperate	0.786064382041313	0.21393561795868693
PQ820059	44	temperate	0.6671742748520723	0.33282572514792774
PQ820058	45	temperate	0.730070424149898	0.2699295758501021
PQ824399	46	virulent	0.014163032132323283	0.9858369678676768
PP236441	47	virulent	0.4135471432120802	0.5864528567879197
PP236440	48	virulent	0.3802831576274942	0.6197168423725058
PP236439	49	virulent	0.4166906272350918	0.5833093727649082
PQ314494	50	temperate	0.8123677033143828	0.18763229668561732
PQ314493	51	virulent	0.25955918390643945	0.7404408160935606
PQ314492	52	virulent	0.3940776086832469	0.6059223913167531
PQ314491	53	virulent	0.19131946358557825	0.8086805364144217
PQ133628	54	virulent	0.000729652316385426	0.9992703476836147
PQ133627	55	virulent	0.013928813909481752	0.9860711860905184
PQ133626	56	virulent	0.0046225113060640805	0.9953774886939359
PQ133625	57	virulent	0.04774285821788626	0.9522571417821137
PQ133624	58	virulent	0.05262553980987926	0.9473744601901208
PQ133623	59	temperate	0.8754568227545281	0.12454317724547187
PQ133622	60	virulent	0.01217173654550778	0.9878282634544922
PQ133621	61	virulent	0.0046019694431558835	0.9953980305568441
PQ133620	62	virulent	0.0010413532407722817	0.9989586467592277
PQ133619	63	virulent	0.004971984585755499	0.9950280154142445
PQ133618	64	virulent	0.07397441665658726	0.9260255833434127
PQ133617	65	virulent	0.02996688882771805	0.970033111172282
PQ133616	66	virulent	0.00843773588223653	0.9915622641177635
PQ133615	67	virulent	0.008592735745718968	0.9914072642542809
PQ133614	68	virulent	0.0008222003448491956	0.9991777996551507
PQ133613	69	virulent	0.09969609831371092	0.900303901686289
PQ133612	70	virulent	0.06868065665381623	0.9313193433461838
PQ133611	71	virulent	0.006465662217103656	0.9935343377828963
PQ133610	72	virulent	0.001094788712528027	0.998905211287472
PQ133609	73	virulent	0.09828885288225205	0.9017111471177479
PQ133608	74	virulent	0.0365719718661454	0.9634280281338546
PQ133607	75	virulent	0.008547932861152793	0.9914520671388473
PQ133606	76	virulent	0.014954297486237037	0.985045702513763
PQ133605	77	virulent	0.004211604949074891	0.9957883950509252
PQ133604	78	virulent	0.0008960308897433237	0.9991039691102566
PQ133603	79	virulent	0.00267623052271302	0.997323769477287
PQ133602	80	virulent	0.004682334768989764	0.9953176652310103
PQ133601	81	virulent	0.008536994037015215	0.9914630059629849
PQ133600	82	virulent	0.05532821914164567	0.9446717808583543
PQ133599	83	virulent	0.011138304615357216	0.9888616953846427
