contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
UHGV-0405173	6655	No	NA	7	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0404930	3134	No	NA	3	1	0	Medium-quality	Genome-fragment	82.72	AAI-based (high-confidence)	0.0	1.0	
UHGV-0151823	34992	No	NA	59	26	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0404557	6181	No	NA	7	2	0	High-quality	High-quality	97.87	AAI-based (high-confidence)	0.0	1.0	
UHGV-0404555	156312	No	NA	207	19	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0404561	43495	No	NA	73	19	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0404559	18510	No	NA	25	8	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
UHGV-0460425	4952	No	NA	8	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0404562	6499	No	NA	6	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0404708	39970	No	NA	55	42	0	High-quality	High-quality	99.43	AAI-based (high-confidence)	0.0	1.0	
UHGV-1334520	5260	No	NA	8	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0171255	53764	No	NA	64	13	0	High-quality	High-quality	91.48	AAI-based (high-confidence)	0.0	1.0	
UHGV-1540281	40950	No	NA	48	17	3	High-quality	High-quality	96.73	AAI-based (medium-confidence)	0.0	1.0	
UHGV-1379267	41159	No	NA	70	18	0	High-quality	High-quality	98.64	AAI-based (high-confidence)	0.0	1.0	
UHGV-1439782	37647	No	NA	49	7	0	High-quality	High-quality	96.1	AAI-based (high-confidence)	0.0	1.0	
UHGV-1497742	43545	No	NA	52	20	1	High-quality	High-quality	97.09	AAI-based (high-confidence)	0.0	1.0	
UHGV-0420862	6323	No	NA	9	3	0	High-quality	High-quality	98.69	AAI-based (high-confidence)	0.0	1.0	
UHGV-1370302	38735	No	NA	64	17	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0420893	6489	No	NA	8	3	0	High-quality	High-quality	99.78	AAI-based (high-confidence)	0.0	1.0	
UHGV-0348898	35276	No	NA	40	13	0	Medium-quality	Genome-fragment	82.89	AAI-based (medium-confidence)	0.0	1.0	
UHGV-0348957	38303	No	NA	42	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1384412	133444	No	NA	168	37	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1376370	46040	No	NA	68	16	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
UHGV-0375193	41616	No	NA	58	24	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1379639	42821	No	NA	81	20	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0224705	49222	No	NA	91	20	0	High-quality	High-quality	99.03	AAI-based (high-confidence)	0.0	1.0	
UHGV-1364077	100827	No	NA	115	7	2	High-quality	High-quality	98.89	AAI-based (high-confidence)	0.0	1.0	
UHGV-0283885	44815	No	NA	70	17	1	High-quality	High-quality	99.85	AAI-based (high-confidence)	0.0	1.0	
UHGV-1273409	43691	No	NA	74	22	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
UHGV-1373997	45034	No	NA	75	17	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0378868	76865	No	NA	94	45	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0420844	6039	No	NA	9	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0157271	42161	No	NA	72	21	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
UHGV-2058187	35153	No	NA	55	29	1	High-quality	High-quality	98.14	AAI-based (high-confidence)	0.0	1.0	
UHGV-0025358	41739	No	NA	70	20	0	High-quality	High-quality	97.37	AAI-based (high-confidence)	0.0	1.01	
UHGV-2087707	41703	No	NA	67	20	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0156616	31606	No	NA	44	21	2	High-quality	High-quality	94.48	AAI-based (high-confidence)	0.0	1.0	
UHGV-2057220	38273	No	NA	56	19	1	High-quality	High-quality	99.64	AAI-based (high-confidence)	0.0	1.0	
UHGV-0143567	38134	No	NA	66	24	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1871700	38905	No	NA	57	11	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0016043	62216	No	NA	86	20	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1430943	58383	No	NA	99	22	0	High-quality	High-quality	98.98	AAI-based (high-confidence)	0.0	1.0	
UHGV-0087181	37240	No	NA	51	17	2	High-quality	High-quality	93.22	AAI-based (high-confidence)	0.0	1.0	
UHGV-0016047	59144	No	NA	75	17	1	High-quality	High-quality	93.88	AAI-based (high-confidence)	0.0	1.0	
UHGV-2151888	37604	No	NA	63	14	0	High-quality	High-quality	97.97	AAI-based (high-confidence)	0.0	1.0	
UHGV-0157818	35635	No	NA	46	11	0	High-quality	High-quality	93.29	AAI-based (medium-confidence)	0.0	1.0	
UHGV-0190423	34439	No	NA	49	13	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0390659	3324	No	NA	1	1	0	High-quality	High-quality	96.46	AAI-based (high-confidence)	0.0	1.0	
UHGV-0130362	57111	No	NA	99	16	3	High-quality	High-quality	99.09	AAI-based (high-confidence)	0.0	1.0	
UHGV-0323924	28610	No	NA	52	22	0	High-quality	High-quality	91.72	AAI-based (high-confidence)	0.0	1.01	
UHGV-1546616	36149	No	NA	50	19	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1546612	36730	No	NA	55	25	0	High-quality	High-quality	96.56	AAI-based (high-confidence)	0.0	1.0	
UHGV-1374768	55228	No	NA	92	24	1	High-quality	High-quality	96.55	AAI-based (high-confidence)	0.0	1.0	
UHGV-1375852	5122	No	NA	8	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1375855	4968	No	NA	8	6	0	High-quality	High-quality	99.25	AAI-based (high-confidence)	0.0	1.0	
UHGV-0327519	54861	No	NA	99	21	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0286217	42416	No	NA	66	14	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0120369	111864	No	NA	157	38	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.06	
UHGV-0382430	34878	No	NA	57	24	0	High-quality	High-quality	97.57	AAI-based (high-confidence)	0.0	1.0	
UHGV-1375885	44958	No	NA	54	24	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0195171	43103	No	NA	59	27	0	High-quality	High-quality	99.8	AAI-based (high-confidence)	0.0	1.0	
UHGV-0013864	38550	No	NA	59	20	0	High-quality	High-quality	96.13	AAI-based (high-confidence)	0.0	1.0	
UHGV-0145234	14036	No	NA	22	9	1	High-quality	High-quality	99.93	AAI-based (high-confidence)	0.0	1.0	
UHGV-1345152	5115	No	NA	8	7	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0215087	43347	No	NA	64	30	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0241472	34480	No	NA	53	19	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0406744	99067	No	NA	106	23	0	High-quality	High-quality	98.56	AAI-based (high-confidence)	0.0	1.0	
UHGV-1363965	32502	No	NA	45	16	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1363925	78066	No	NA	106	11	1	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
UHGV-2007258	40144	No	NA	56	21	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1363906	39837	No	NA	53	21	0	High-quality	High-quality	99.51	AAI-based (high-confidence)	0.0	1.0	
UHGV-0318370	6501	No	NA	8	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1375084	5035	No	NA	7	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0131329	36261	No	NA	51	11	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1915498	5337	No	NA	5	1	1	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
UHGV-1919420	45205	No	NA	45	3	0	High-quality	High-quality	99.96	AAI-based (high-confidence)	0.0	1.0	
UHGV-2134673	50727	No	NA	59	21	1	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
UHGV-1922335	42084	No	NA	66	21	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1938320	45916	No	NA	60	26	0	High-quality	High-quality	97.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-2075247	35318	No	NA	47	15	0	High-quality	High-quality	98.68	AAI-based (medium-confidence)	0.0	1.01	
UHGV-2232755	41116	No	NA	58	15	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1925127	6035	No	NA	10	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1467644	35623	No	NA	60	18	0	High-quality	High-quality	91.17	AAI-based (high-confidence)	0.0	1.0	
UHGV-1353088	52106	No	NA	58	8	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1353092	52064	No	NA	85	22	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1353093	52062	No	NA	91	31	0	High-quality	High-quality	99.23	AAI-based (high-confidence)	0.0	1.0	
UHGV-1353094	52138	No	NA	76	14	0	High-quality	High-quality	99.56	AAI-based (high-confidence)	0.0	1.0	
UHGV-0115110	41623	No	NA	75	18	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
UHGV-1353126	51443	No	NA	91	17	0	High-quality	High-quality	98.87	AAI-based (high-confidence)	0.0	1.0	
UHGV-1353133	51405	No	NA	83	17	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1353135	6051	No	NA	8	2	0	High-quality	High-quality	97.63	AAI-based (high-confidence)	0.0	1.0	
UHGV-1353136	6370	No	NA	6	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1353140	5571	No	NA	7	4	0	High-quality	High-quality	98.58	AAI-based (high-confidence)	0.0	1.0	
UHGV-1365586	40071	No	NA	63	12	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1371304	5899	No	NA	10	3	0	High-quality	High-quality	98.65	AAI-based (high-confidence)	0.0	1.0	
UHGV-1371302	45488	No	NA	72	17	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1371306	5818	No	NA	9	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1371305	5922	No	NA	10	2	0	High-quality	High-quality	99.91	AAI-based (high-confidence)	0.0	1.0	
UHGV-1371283	35929	No	NA	65	11	0	High-quality	High-quality	97.24	AAI-based (high-confidence)	0.0	1.0	
UHGV-1371280	79321	No	NA	128	23	2	High-quality	High-quality	98.43	AAI-based (high-confidence)	0.0	1.0	
UHGV-1371295	89164	No	NA	133	12	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1371287	35914	No	NA	58	14	1	High-quality	High-quality	97.77	AAI-based (high-confidence)	0.0	1.0	
UHGV-1363839	34634	No	NA	52	12	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0439402	7036	No	NA	12	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1371310	5894	No	NA	9	3	0	High-quality	High-quality	99.46	AAI-based (high-confidence)	0.0	1.0	
UHGV-1371309	5813	No	NA	10	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0270821	39314	No	NA	61	22	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0007047	34695	No	NA	61	18	0	High-quality	High-quality	98.72	AAI-based (medium-confidence)	0.0	1.0	
UHGV-0131558	103267	No	NA	117	17	3	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
UHGV-1368458	145935	No	NA	184	25	8	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1350454	95076	No	NA	82	7	0	High-quality	High-quality	99.79	AAI-based (high-confidence)	0.0	1.0	
UHGV-1368382	44167	No	NA	72	19	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1368374	50770	No	NA	64	30	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
