contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
PP099880	14942	No	NA	26	4	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.01	
PQ613263	69166	No	NA	84	63	0	High-quality	High-quality	95.79	AAI-based (high-confidence)	0.0	1.0	
PQ614275	58583	No	NA	83	43	1	Medium-quality	Genome-fragment	54.64	AAI-based (high-confidence)	0.0	1.0	
PQ678706	43104	No	NA	52	45	0	High-quality	High-quality	98.2	AAI-based (high-confidence)	0.0	1.0	
PQ678705	43343	No	NA	51	44	0	High-quality	High-quality	98.75	AAI-based (high-confidence)	0.0	1.0	
PQ464790	44258	No	NA	52	32	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
PQ464789	43376	No	NA	49	32	0	High-quality	High-quality	97.99	AAI-based (high-confidence)	0.0	1.0	
PQ773600	41325	No	NA	34	28	0	Low-quality	Genome-fragment	36.51	AAI-based (high-confidence)	0.0	1.0	
PQ819477	169954	No	NA	287	232	0	High-quality	High-quality	98.4	AAI-based (high-confidence)	0.0	1.0	
PQ819476	169954	No	NA	287	233	0	High-quality	High-quality	98.4	AAI-based (high-confidence)	0.0	1.0	
PQ819475	169954	No	NA	286	232	0	High-quality	High-quality	98.4	AAI-based (high-confidence)	0.0	1.0	
PQ819474	150678	No	NA	243	212	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.08	
PQ819473	150830	No	NA	242	212	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.08	
PQ819472	151601	No	NA	244	214	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.08	
PQ819471	77792	No	NA	129	72	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
PQ819470	77452	No	NA	129	72	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
PQ064465	86103	No	NA	128	113	0	High-quality	High-quality	97.78	AAI-based (high-confidence)	0.0	1.0	
PQ803403	41999	No	NA	54	52	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
PQ803402	59383	No	NA	81	52	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
PQ803401	58999	No	NA	79	56	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
